CLAMBED	Where some diggers dig
CRAWLER	Night ___
LAHAINA	Maui locale that was once the capital of the kingdom of Hawaii
AVERTED	Fended off
MIATA	Roadster that debuted in 1989
BODY	With 20-Across, natural energy source
ELO	Grp. with the 1977 album "Out of the Blue"
DIFFERINGTASTES	What food courts aim to satisfy
WWIIACE	Chuck Yeager, e.g., in brief
WRITTENMATERIAL	Books and such
WAC	Fem. force
ILES	France's ___ d'Hyères
ISLAM	"The straight path"
ATATIME	Together
CONICAL	Like a volcano
ENDEARS	Charms
RAVIOLI	Kreplach cousin
RALSTON	Purina partner replaced by Nestlé
AHEADOF	Before
ICELAND	Home of the Great Geysir
WARTY	Toadlike
FAT	See 5-Down
AEROSPACE	One industry above the rest?
SATIE	"Socrate" composer
LITA	Self-titled platinum album of 1988
BEETS	Red flannel hash ingredients
BUTANOL	Fuel derivable from biomass
SALUTED	Tipped one's hat to
MICA	Isinglass
ENE	Dir. from Asheville to Winston-Salem
SURREAL	Like Miró's "The Tilled Field"
SARIN	Lethal compound
LETTS	Neighbors of Belarusians
MAR	Blemish
RADIATIONLEVELS	Counter measures?
ITD	"___ better be good!"
VEE	Notch, e.g.
TRANSMUTE	Make a silk purse out of a sow's ear, e.g.?
HOLDINGPATTERNS	They keep airliners aloft
HANDDYE	Produce batik
ONEIRON	Driving club
LOANOUT	Give for a while
RCADOME	Colts' former home
NOMINAL	Token
STATELY	Like Buckingham Palace
ANO	"So is that ___?"
NOTATES	Adds to the staff
COT	Sleeping aid
NEAP	___ tide
PEPTO	Rumbly tummy soother
LACED	Like some punches
MAMA	Elvis Presley's "___ Liked the Roses"
MARSH	Dame of whodunits
DINES	Takes several courses
SLUM	Trenchtown, for one
SER	Words from M.L.K. Jr.
HADIT	"I've ___!"
HOYT	Wilhelm of Cooperstown
DROPLET	Crime scene clue
EBB	"Chicago" lyricist
IFORONE	"In my mind ..."
FBI	Org. in "The Sting"
YOUTUBE	Common blog link
ABYSMAL	Unable to get much worse
ENTOMBS	Lays away for good
LITHELY	Supply
