KOBE	Port on Osaka Bay
KIWI	Fuzzy fruit
OMAN	Neighbor of Yemen
BESS	Porgy's mate
ETHICAL	Unlikely to cheat
ADMIT	Fess up
APNEA	Breathing problem
DAG	The U.N.'s ___ Hammarskjöld
MIT	Cambridge sch.
IGOR	Prince in a Borodin opera
TENOR	Pavarotti, e.g.
PSST	"Hey, you!"
PROSIT	"To your health!"
SETTLEMENT	Suit ender
SATE	Satisfy fully
TROD	Walked over
IMET	"Since ___ You Baby" (1956 hit)
PAIGE	Satchel on the field
REAR	Exit location, often
WASHINGTON	Mall locale
IDLY	Sans purpose
OTTO	Germany's ___ von Bismarck
INSIDE	Umpire's decision
ROOSTED	Slept like a hen
OASTS	Brewery kilns
CLASP	Manila envelope feature
SOURED	Now poor, as relations
PUDDLES	Places to splash
RAIL	Amtrak transportation
DECAY	Tooth problem
DELHI	Indian metropolis
ELIAN	Political pawn González
CUTTLEFISH	Squid's cousin
OUT	Means of escape
TIEDYE	Color, hippie-style
STEPS	Stoop parts
PESTO	Pasta topper
SALON	Locale for this puzzle's theme
ELUL	Month after Av
NUDIST	One with an all-over tan
NOM	Pierre or Henri, e.g.
SRA	Mme., in Madrid
MEA	___ culpa
LIT	Beyond tipsy
BORDERS	Sites for skirmishes
BITTE	Please, in Potsdam
ESL	Night school subj.
HAT	Broadbrim, e.g.
IMELDA	Marcos, the shoe collector
UNTO	Golden rule preposition
ULYSSES	Joyce masterpiece
INLET	Mooring place
ESTATE	What you will
DEY	Susan of "L.A. Law"
ELTON	John with an outrageous wardrobe
EMUS	Big birds
ESTA	"Cómo ___ usted?"
ASPEN	Rockies resort
SEAMY	Sordid
ARIEL	Israeli hard-liner Sharon
SOFTEST	Like the best towels
SARA	Mrs. Roosevelt
ORES	Assayers' stuff
TELE	The "T" of TCI
RUSSET	Apple variety
SITE	Webmaster's creation
EVEN	Roulette bet
TEST	Reason to cram
ARIA	Diva's delivery
PERMISSIVE	Not doing much disciplining
RIP	Fictional sleeper
MTA	Boston subway inits.
REST	Take five
ELITE	Type size smaller than pica
ETES	Summers in Rouen
ASHE	Stadium near Shea
NEPAL	Katmandu's land
SENT	Enraptured
