CAR	Vacation rental
CHASMS	Challenges for daredevil motorcyclists
AORTAE	Blood lines
ROMIJN	Actress Rebecca of "Ugly Betty"
DALAI	___ Lama
DISGRACE	Ignominy
AMI	Friend of François
LEG	Part of a relay
AAHS	Relief reactions
INTACT	Unbroken
SPLAT	Paintball sound
SONTAG	"In America" novelist Susan
PMS	Blair, Brown and others, in brief
LEE	Winner at the Second Battle of Bull Run
AGE	Bronze ___
TAN	Bronze
HOO	Boo follower
IMEAN	"You know ... it's ... um ... like this ..."
OMEGA	Watchmaker since 1848
ARM	Extension
SIGHTUNSEEN	Blindly
UNLV	Runnin' Rebels of the N.C.A.A.
STING	Possible cause of a swelling
NOS	Squares and cubes, e.g.: Abbr.
SANT	Filmmaker Gus Van ___
MAJORIN	Have as a focus of one's studies
ITAW	"___ a Putty Tat" (Friz Freleng short)
NETH	One of the Low Countries: Abbr.
CLAMBAR	Place for steamers
MUIR	Naturalist who appears on the California quarter
BILE	Vitriol
ADIA	1998 Sarah McLachlan hit
REED	Bit for a basket weaver
SENSATE	Feeling
TVGUIDE	Weekly founded by Walter Annenberg
CATS	Cool guys
SEC	Half a mo
ILIE	"Would ___ to You?" (1985 Eurythmics hit)
WHOLEWHEATBREAD	Club choice
WITT	Skater Katarina
HOHO	Jolly laugh
OLEO	Sub in a tub
LAHR	Bert who sang "If I Only Had the Nerve"
ALIF	A first for Arabia?
TUNE	Some people have trouble carrying one
BETROTHS	Gets engaged to, old-style
IOLA	Neighbor on the 1980s sitcom "Mama's Family"
CLUE	Footprint or loose thread, perhaps
THEHUTU	People of Burundi
UDDERS	Milk dispensers
TERA	Trillion: Prefix
URALIC	Language family that includes Finnish and Hungarian
INTOTAL	All accounted for
ORR	Hockey's Bobby
TARRED	Blackened
ARIANA	Sister of Albus Dumbledore, in the Harry Potter books
LINNEY	Actress Laura
TOORDER	Customized
FERRARI	Import with a "cavallino rampante" logo
DRAT	"Phooey!"
TIRE	Part of a makeshift swing
ORRIN	Sen. Hatch
SHINEALIGHT	Expose, with "on"
SAP	Softhead
HMO	Med. insurance choice
IOU	Slip in a pot
NUT	Loon
GIL	Baseball's Hodges
HST	1940s presidential inits.
RAN	Totaled
AMOUR	Intrigue
IRISH	From Cork, e.g.
ENE	Pittsburgh-to-Boston dir.
POUTS	Wry faces
CELTS	Boston five
DAY	What each set of circled letters spells
