DUDS	Turkeys
DACCA	Bangladesh's capital, old-style
UTURN	Flip-flop
DEBUT	Come out
SEASIDES	Vacation destinations
CHAP	Crack in the cold
CRUDER	Less refined
HAGEN	Duvall role in "The Godfather"
AJA	1977 double-platinum Steely Dan album
PARASITES	Mooches
TOSCA	Teatro Costanzi premiere of 1900
TERMITE	Home wrecker?
OLEATE	Soap stuff
SWEDENLOW	"Do you need anything else with your imported coffee?" "___"
CASA	Home overseas
AYES	Passing needs
ATEE	Something might suit to this
RAJA	Prince of India
ELWAY	Super Bowl XXXIII M.V.P.
CUBASUGAR	"What would you like in your imported coffee?" "___"
SAGES	Wise guys
REESE	Piece maker
CRUSADE	Campaign
ARMADAS	Battle groups
RUSTS	Dirty films?
ANTIGEN	Immunologist's concern
SUITE	Hospitality area
DER	German article
DISTENDS	Swells
DUSTY	Cowhand's handle
DOLE	1996 runner-up
SOLD	Persuaded
HOSES	Extinguisher attachments
HTTP	Start of many addresses today
OWAR	Man follower
SAMOAMILK	"And would you like anything else with your imported coffee?" "___"
BUTTE	Seat of Silver Bow County
BULLSEYES	Best shots
LOO	Elton's john
TWAS	"Jabberwocky" start
MUSES	Inspirations
MORAN	Artist Edward or Thomas
TOLL	Crossing cost
TALLULAH	Bankhead of old Broadway
TAM	Flat topper
MOLTS	Sheds
MEDLEYS	Olios
CAWED	Made a bird call
CAUSE	Equal rights, e.g.
PROPERLY	According to Miss Manners
PLINTH	Statue base
CAL	Pac. borderer
CASBAH	Old quarter
ALDAS	Acting family
HAULOFF	Tow away
HASTA	It precedes mañana
ORIBI	Small antelope
FEZES	Tasseled toppers: Var.
FRETS	Stews
AAMILNE	"It's Too Late Now" autobiographer
AIWA	Sony competitor
AMEN	Grace period?
ASSURER	Confidence builder
IMINE	Ammonia derivative
YESBELIZE	"Would you like some more imported coffee?" "___"
ETH	Shakespearean suffix
WELTY	"Delta Wedding" author
ETTA	Jazzy James
ABET	Aid, in a way
ANKHS	Crosses with loops
SHAH	Deposed king
HISS	Blow off steam?
