SCATHE	Attack severely
SAWSOFF	Shortens
CRAWLER	Worm for bait
ANTIGUA	One of the Leeward Islands
THETA	Head of Thermopylae?
HER	One of L.B.J.'s beagles
EMMA	Mystery author Lathen
MARSALA	Sweet, dark wine
MACHETE	Chopper
ARAID	"This is ___!" (police cry)
ROPE	1948 Hitchcock thriller
SUR	South of Mexico
ASI	"___ live and breathe!"
LADDS	Cheryl and Diane of Hollywood
ALEE	Nautical direction
SMEW	Saw-billed duck
SPINOZA	17th-century rationalist
MISSLOTHGLINK	Hypothetical animal
ESSES	Abbreviations for weekend days
WHYS	Reasons
ARNHEM	Dutch city on the Rhine
CAROUSAL	Bacchanalian activity
CCCLIV	Year St. Augustine was born
APISH	Silly
AMEBAS	They undergo mitosis
WATERMOCCAPRIDE	Venomous snake
ORISON	Prayer
MISSY	Girl, informally
SWIT	"M*A*S*H" regular
ARCHIE	Noted Riverdale High student
DEFENSES	Insanity and others
FORS	Ones voting yes
OLGA	Ballerina Spessivtseva
ILED	Philbrick's "___ Three Lives"
LBS	Some wts.
LOUDMOUTHED	Vociferous
BOSSA	___ nova
OBOLS	Silver coins of ancient Greece
FEU	Pot-au-___ (meat and vegetable dish)
ASIT	___ were
ACRE	Plot to plant
MOO	Bossy remark?
MOUNTLUSTAI	"The Ten Commandments" location
BRAZO	Spanish arm
BEN	Michael Jackson's first #1 hit
FRANKCOVETOUSNESSATRA	Rat Pack member
NEPTUNE	Where Triton is
KAL	___-El (Superman's real name)
THINGAMABOB	Doodad
NON	United Nations vote
RULINGS	Opinions
ATEASE	"Relax!"
EARN	Make, as bread
HUDSON	Captain of the Half Moon
HUT	Quarterback's cry
MAPLE	Sugar source
MINERAL	Feldspar, e.g.
ANGERGULARITY	Uniqueness
THINMAN	Victim in a 1932 mystery, with "the"
TCU	Horned Frogs' sch.
HAN	Solo in space
GURGLE	It comes from a fountain
GEL	Come together
UTE	Arapaho foe
RAVIOLI	Trattoria offering
MINT	Perfect
MEKONG	Vietnamese river or delta
CANTO	Division of a long poem
ETALIA	List shortener
ENGULF	Swamp
LER	Celtic Poseidon
FRY	Small swimmers
UNGLUES	Separates
ERO	Man of courage, to Kipling
SET	Hollywood workplace
LEVINS	Writers Meyer and Ira
KEENER	One who wails
AUTRE	Other: Fr.
INGE	"The Dark at the Top of the Stairs" writer
ORRERY	Planetarium
RIMSHOT	Comic punctuation from a drummer
ROY	Emerson of tennis
INDRA	Chief Vedic god
COOKS	Prepares, in a way
CASK	Wine shipment
OLA	Biographer Winslow
NAG	Chivvy
DONATE	Help the cause
DNA	Kind of fingerprint
FALL	Pitch
FEEDER	Branch railroad, e.g.
GLUTTONYDBADTHESAILOR	"Arabian Nights" hero
TELESES	Intelligently planned progresses
TOSSER	Flipper
ONEA	Suitable for service
TROMPES	Blast furnace apparatuses
HELIOS	Chariot-driving Greek god
LURKING	Ready to ambush
ORIENTE	The East, en Espana
RENEGED	Broke a rule of play
LEONA	First name in hoteliers
ROI	Charles, e.g.
REEK	Offend olfactorily
URE	Suffix with portrait
VALSE	Schubert piece
VIREO	Migratory songbird
DAB	Schmear
DENTE	Al ___
GOLD	Million-selling
GRAZE	Just touch
GRIN	Jack-o'-lantern feature
GALEN	Pioneer in medicine
FIRESALE	Bargain hunter's joy
FADS	Macarena and others
LEAH	Jacob's first wife
ARMIES	Axis divisions
AGIN	Opposed, in Dogpatch
SETH	Clockmaker Thomas
AKEE	Tropical tree of the soapberry family
ARISE	Commence
ENVYGAPORESLING	Popular cocktail
VOX	___ angelica (organ stop)
YMA	Singer Sumac
SRI	Overseas title
DETER	Hold off
ATOMIZES	Blows to smithereens
TRENTE	Rouge roulette bet
SOYS	Some beans
HEXANES	Solvent compounds
HINGED	Like most gates
