DROP	Plunge
DRJ	Nickname of a 6'7" former basketball great
RAE	"Norma ___"
OVA	Eggs
PEN	Cross or Parker
BASER	More dishonorable
BASHED	Clobbered
ACMES	Topmost points
SCAM	Many an e-mail "click here" offer
ERR	Go astray
RATFINKS	Squealers
AGAS	"What ___!" ("That was fun!")
AERATE	Infuse with carbon dioxide
GLENNSCLOSE	"Fatal Attraction" actress is nearby?
ALICE	Girl who went through a looking glass
SANER	Less addled
RAVE	"I loved, loved, loved that!" review
ACCRA	Capital of Ghana
ELLA	Fitzgerald who sang "A-Tisket A-Tasket"
JEANSSMART	"Designing Women" actress is intelligent?
SAINT	Superdome player
REIN	Bridle part
AHEM	"Excuse me ..."
FIANCE	Husband-to-be
INCA	Machu Picchu resident
DOGGIES	Little pooches
DELVE	Look (into)
OREOS	Cookies in a box lunch
GRACESSLICK	"White Rabbit" singer is smooth?
GAPE	Open the mouth wide
VINTNER	Person producing Bordeaux or Beaujolais
VINNY	"My cousin" in a 1992 film
ERRAND	What a gofer is sent on
MINCES	Takes little steps
MORSE	Man with a code
LEAPT	Jumped
WONKA	Willy with a chocolate factory
WATCH	Keep an eye on
CHI	The Windy City, for short
HARTS	Mates for does
IDEAS	Notions
VOCE	Viva ___
DARNS	Does some mending
DUNCECAP	Corner sitter's headwear
GLAD	Pleased
GOES	"Anything ___"
ESE	Suffix with Siam
GUTSY	Daring
GAIT	Trot or canter
MOORE	Roger who played 007
MISTY	Like eyes when you're getting nostalgic, maybe
STANCE	Batter's position
TWINES	Twists and turns, as a tendril
SIESTA	It might produce a snore in Sonora
SOUSES	Drunkards
IPSWICH	Capital of Suffolk, England
IPODS	Products for music downloads
PODIA	Speakers' places
POSSESS	Hold
PACER	Nervous person in a hospital waiting room, perhaps
POLITE	Saying "Please" and "How do you do?," say
TAUT	Tense
TIME	Use a stop clock on
ODIN	Chief Norse god
CHICSYOUNG	"Blondie" cartoonist is not old?
HIE	Hurry
OAK	"Mighty" fine home for a squirrel?
USE	"What's the ___?"
NIP	Tuck's partner
GAT	Gangster's gun
DICE	Chop up
AIMEE	Anouk of le cinéma
ASIA	Mongols' home
SAKS	Fifth Avenue landmark
PEERS	Lords and ladies
KEPT	Retained
