ACROSS	See above
ACCURSE	Bedamn
CHAPALA	Mexico's largest lake
RAPSTAR	Snoop, e.g.
ORI	"... ___ quit!"
SGTS	Pepper and Friday: Abbr.
SEAL	One clapping at a circus?
ICIER	Slicker, in a way
IMPROV	Comedy specialty
CAUSTIC	Biting
INN	Comfort ___
EGIS	Sponsorship: Var.
RASP	Not smooth-talk?
ASYE	"... so long ___ both shall live?"
AAMCO	Company with a "beep-beep" in its ads
SNEERS	Responses of contempt
YANKEES	Team whose logo features a bat in a hat
EXT	No. after a no.
BSA	Youth grp.
BOLDSTATEMENT	Assertion   [in extra-dark type]
SWIVEL	Turn 90 degrees, say
ASPIRE	Have a goal
CHARGE	Bit of excitement
MANGA	Japanese comics style
ANAX	Have ___ to grind
OWS	Cries of a toe-stubber
CAPITALPUNISHMENT	JAIL OR FINE
LUND	Bergman's role in "Casablanca"
HAS	Is sick with
LIP	Edge
UPS	Grown-___
SLURS	Staff connections
SPACEK	"Carrie" star
CDVI	Year Attila the Hun was born
COTTONGIN	Separating machine
RATE	Figure on an electric bill
ENTR	___'acte
NOTH	Chris ___, player of Mr. Big on "Sex and the City"
HEH	Snicker part
SORELOSER	Excuse maker, maybe
LAIN	Reclined
SLANTEDVIEWS	Perspectives   [in italics]
THISA	"Is ___ joke?"
EACH	For one
WEBBS	"Our Town" family
SERO	Prefix in hematology
SEATTLE	Sound city
EARTHA	Kitt who sang "Santa Baby"
CHEETA	Tarzan's simian sidekick
TUX	What a penguin doesn't really wear
ACIDRAIN	Deleterious precipitation
SITA	___ spell
RICCI	Actress Christina
CALTECH	Prestigious West Coast school, for short
IDITAROD	Race that takes a northern trail in even years and a southern trail in odd years
BRUCE	Lee who got a kick out of acting?
ENROUTE	Neither here nor there?
NOTSO	"You are mistaken!"
SEARED	Prepared, as some tuna
OTTERS	Warren : rabbits :: couch : ___
DOG	Trail
DAYUSE	A parking garage may have special pricing for it
OREGON	Home of the U.S.'s last active nickel mine
GOTHICFICTION	Untruths   [in medieval-looking type]
SHADOWBOXING	Putting in a carton   [repeated underneath in gray]
ORE	Garnierite, for nickel
WAR	It's good for "absolutely nothing" according to a 1970 hit
GYM	Sweaters' place
NEET	Bygone name in hair removal
AROMA	Salivation cause
MISTLETOE	Christmas hanging
LIRAS	Turkish money
DRY	___ spell
GMAT	Exam for a Wharton applicant: Abbr.
YETI	Himalayan legend
UTTER	Come out with
UMS	Sounds of hesitation
CDROM	PC insert
CAW	Field call
DLR	Abbr. on some license plates
IERE	French suffix
UGHS	Critical comments
MEA	___ culpa
PALAU	2005 "Survivor" setting
PTERO	Wing: Prefix
INNER	Not superficial
IRVIN	Pro Football Hall-of-Famer Michael
SOIT	"___ would seem"
SCRIPTWRITER	Wordsmith   [in cursive]
IME	The Beatles' "___ Mine"
PIER	It's on top of piles
ERMA	Columnist Bombeck
TDS	Results of some rushes, for short
ENCLS	Ltr. accompaniers
SLIM	Dude ranch nickname
HOMIE	Bro
NERVY	Audacious
YADA	When tripled, a "Seinfeld" catchphrase
FELT	Pool surface
TEMPTER	Satan, with "the"
DEERES	Some riding mowers
EMS	Ambulance letters
SAINTED	Like Joan of Arc
MIASMA	Noxious atmosphere
SLIMIER	More like a slug
MELANIE	U.S. tennis player Oudin
ASSIGNS	Gives, as homework
DEITIES	Mercury and Saturn
DRAWER	Chest part
EERILY	How haunted houses creak
SEERED	Blow one's stack
ROMANCANDLES	Birthday cake toppers   [in standard serif type]
NTESTS	Bikini blasts
CHEW	Copenhagen, e.g.
RECOMMEND	Endorse
NAURU	Country that's just 8 square miles in area
DNC	Leadership org. opposed to the G.O.P.
SITH	Jedi foes, in "Star Wars"
AILS	Is indisposed
ARTE	Goya's field
PEANUT	Mr. ___ of advertising
UKES	Island instruments, for short
TOGA	Classical attire
NEEDS	Desiderata
DIPS	Party bowlfuls
SNIT	State of ill humor
MAI	Printemps month
WII	2006 Nintendo debut
STRUCKOUTSWINGING	Couple-swapping   [with a line through it]
SVU	"Law & Order: ___"
URN	Ash holder
GLO	Shine, in ads
ELO	1976 album "Olé ___"
VEER	Zig or zag
EGRET	It may be snowy
PILEIN	Board as a group
RYN	Rembrandt van ___
URDU	Language from which "loot" comes
SANDS	Smooths, in a way
STORES	Stashes
