KOBE	Japanese beef center
KOOLS	Mentholated smokes
ORBIT	Go round and round
BEIGE	Color that blends well
ESTHER	"Sanford and Son" aunt
ISLET	Speck in the ocean
ISBN	Amazon.com ID
STRIKEPAY	Compensation during a work stoppage
LAINE	"Rawhide" singer Frankie
ELEGY	Poem of lament
TERR	La., e.g., from 1805 to 1812
HAJI	Visitor to Mecca
HEADACHE	Ibuprofen target
ARC	Circumference section
JIM	Olympian Thorpe
ICE	Beverage store buy
ORES	Sources of gold, e.g.
STALE	Clichéd
ERIC	Holder in the Obama cabinet
OBIT	Bye lines?
BRIER	Prickly plant
ACME	Looney Tunes manufacturer
LIGHTNINGROD	Metaphorical target of attacks
TRAC	___ II (razor brand)
OMEN	Eclipse, to the impressionable
STEER	Roundup animal
KEY	Speck in the ocean
MASAI	Tribesman of Kenya or Tanzania
STORK	Image on many a birth announcement
AIOLI	Garlicky sauce
INKED	Sporting tattoos, slangily
RABE	Broccoli ___
BALMY	Like Indian summer days
PECTIN	It makes jelly gel
PIANO	Forte's opposite
HOG	Grab most of
HOWDY	Cowboy's greeting
OSHEA	Milo of "The Playboys"
GOALS	What a shut-out team may lack
CAPTAINHOOK	Captor of Wendy Darling
TIL	Up to, in ads
ALIMONIES	Severance package payments?
OSOS	Bears, in Baja
STRIVING	Trying hard
LAILA	Boxer Ali
ERLE	___ Stanley Gardner
WHATSMYLINE	Game show originally titled "Occupation Unknown"
SARI	"Slumdog Millionaire" garb
ETNA	Sicilian spewer
KID	The Cisco ___
DELRAY	___ Beach, Fla.
MOTE	Bit of dust
EARTHA	Kitt in a cabaret
YASIR	Oslo Accords partner of Yitzhak and Bill
AGO	George Harrison's "All Those Years ___"
AGILE	Like a ballerina
GIGLI	Movie bomb of 2003
NARCS	Some border patrol cops
REHAB	Post-surgery regimen, for short
CEASE	"Give it a rest!"
SLIPS	Errata
VIRGINIAREEL	Dance with fiddlers and a caller
RDAS	Vitamin label amts.
ITEM	Agenda part
ZUNI	New Mexico native
ZIP	___ + 4
URI	Altdorf's canton
NON	___ troppo (moderately, in music)
DIGIT	One of 101 in a googol
THAI	Cuisine that includes pad see ew
IRON	It may let off steam
ALLEE	Grande ___ (Québec's main drag)
HASP	Diary fastener
PING	Unwanted engine sound
SEISM	Richter scale event
ABES	Sawbuck halves
