FOAL	New stable arrival
FOLK	Arlo Guthrie's genre
OMEN	Spilled salt, say
ANTI	Pro's foe
LIOTTA	Ray of "GoodFellas"
CUBS	Wrigley team
CAMELOT	The Kennedy years, figuratively
USED	Played for a sap
BARS	3 Musketeers units
SPECS	Eyeglasses, informally
ONSET	Beginning
OVERHERE	"Yoo-hoo!"
NERF	Soft ball material
SRO	Sellout indicator
END	Cut short
TEE	Pigskin prop
OMNI	Old Dodge model
ASAP	Pronto!
VERNE	Captain Nemo's creator
LETO	Jared of "Panic Room"
MERE	"A ___ formality!"
ERODE	Chip away at
KNITTEDSCARF	Winter accessory
TIC	Part of three-in-a-row
ACHE	Yearn (for)
TIL	Up to, in ads
SCH	Coll., e.g.
THO	However, informally
TROUPE	Minstrel show group
HOLDER	Player in extra-point attempts
OFFERS	Job seekers' good news
COCACOLA	Caffeine source for many
CARBON	Graphite element
OLEARY	Legendary Mrs. who owned a cow
CLERIC	Frock wearer
LIMB	Arm or leg
AMBOY	Perth ___, N.J.
HEAROF	Learn about
AWL	Piercing tool
ALL	The whole shebang
TIMBERWOLF	Forest canine
BALI	Java neighbor
REEFS	Sailing hazards
FRO	To's partner
SELENIUM	Element #34
MBA	Geo. W. Bush has one
ELUDE	Artfully dodge
BARRELBOLT	Simple door fastener
LEAH	First wife of Jacob
TEENAGE	Like many MTV viewers
PER	Price word
ORIOLE	Black-and-orange songbird
YIELDERS	Polite drivers, at merges
LAG	Slip behind
DUFFEL	Camper's bag
NYC	Columbia Univ. locale
EAR	Something to shuck
RAJAH	Indian prince
EAU	___ de Cologne
INHALINGFOOD	What the ends of 20-, 36- and 43-Across suggest
IDEE	___ fixe (obsession)
LEGO	Toy block maker
INON	Get ___ the ground floor
OOZE	Gooey stuff
OURS	Sharer's word
DRAT	"Dang!"
HINDI	Language of India
HAS	Is afflicted with
IDA	Actress Lupino
NIL	Zip
JENA	Actress Malone
FOUR	Tea time, perhaps
ADIEU	French farewell
AGOG	Wide-eyed
EZRA	Book after II Chronicles
SALEM	1692 witch trials city
HONE	Fine-tune
LEST	For fear that
