ABABA	Addis __
ADDS	Tacks on
BRET	"The Luck of Roaring Camp" writer Harte
AILS	Has a bug
BLT	Diner sandwich
ALABAMA	Space Camp state
STL	Cardinals cap insignia
STINE	"The Horror at Camp Jellyjam" author R.L. __
TENT	Camp shelter
LAM	Fast getaway
IVES	"The Camp Meeting" composer Charles
INOR	" __ out?" (poker query)
VOLTA	Upper __ (Burkina Faso, once)
EMDEN	German seaport on the Ems
SEERS	Crystal ball gazers
DRILL	Boot camp routine
TEAR	Go like the blazes
RECRUIT	Boot camp newcomer
NOME	Alaskan city founded as a gold-mining camp
DELTA	River formation
INME	"I haven't got it __!"
OLDE	Word after "ye" on signs
STS	N.Y.C.'s 34th and 42nd
BUNT	Lay one down
USS	Letters on the Enterprise
CARTER	Camp David accords president
AIM	Align the cross hairs
EASE	"At __!" (boot camp command)
ERNEST	"__ Goes to Camp" (1987 Jim Varney movie)
URI	William Tell's canton
URGES	Pushes forward
ANS	Ques. follower
FARMS	Works the land
FRUG	'60s dance
AIDE	__-de-camp
CRUMB	Bit of cake
CANOE	Camp craft
BAILEY	Beetle of Camp Swampy
IRINA	One of Chekhov's Three Sisters
IDA	Rhoda's TV mother
MAGI	Nativity trio
MEESE	Ed of the Reagan cabinet
ACLU	Rights org.
CROC	Gator's cousin
LAKE	Camp site, perhaps
USE	Bring into play
DUDE	__ ranch (camp for cowboy wannabes)
TENET	Basic principle
TRAILER	__ camp (place for mobile homes)
IRAS	Nest eggs, briefly
AGES	Gets mellower
REOS	Vintage autos
BLOKE	Chichester chap
BIVOUAC	Temporary military camp
TEASE	Pick on
ETA	Hellenic H
PIECE	Rook or knight
PEN	Part of a desk set
LEG	Journey segment
LATEN	Grow dark
ETAPE	Troops' post-march camp
GOMER	Pyle of Camp Henderson
TIE	__-dyeing (camp activity)
BEVY	Group of quail
BEANS	Van Camp's Pork and __
ATONAL	Lacking a key, in music
NEED	Can't do without
OENO	Vintner's prefix
ODIE	Garfield's pal
SLO	__-mo replay
STAB	Wild guess
LOCI	Centers of activity
ONIN	"Come __, the water's fine!"
TAME	Easy to manage
EDDA	Icelandic epic
DAY	__ camp (children's summer diversion)
UPTON	Camp __, where Irving Berlin wrote "Yip Yip Yaphank"
PBA	Keglers' org.
EPEE	Blunted blade
RAIN	Game delayer
ABACI	Early calculators
NERD	Uncool sort
YES	Ouija board answer
CABIN	Camp shelter
