OLDS	Automobile pioneer
ODDS	Lotto info
LARK	Escapade
DREAMIEST	Most marvelous
STS	Ave. crossers
COLIC	Baby's affliction
CABINS	Mountain retreats
OFLATE	Recently
LAURA	Actress San Giacomo
ICE	Diamonds, to a yegg
CTS	Pennies: Abbr.
TACK	Sailing maneuver
TERMINI	End points
ALIEN	1979 sci-fi classic
CHALK	Classroom supply
KILTS	Glasgow garb
DART	Pub missile
AFACT	"Is that ___?" ("Really?")
ELHI	Precollege, briefly
DRESSBLUES	Military attire
SLUES	Turns sharply
RIAL	Iranian money
SKA	Reggae relative
LIAR	Yarn maker
SMELT	Troutlike fish
SPAR	Fight, but not for real
MOUNTAINPINKS	Plants with small, fragrant flowers
ONT	It borders four Great Lakes: Abbr.
ISIT	"___ me?"
NERO	Pianist Peter
CHINESE	Kind of lantern
CPAS	Calculating types
HOST	Welcomer
SEAN	Playwright O'Casey
POETS	Masters and Jonson, e.g.
AIRRIFLE	Pellet propeller
ALS	Capp and Capone
FLIESAWAY	Takes to the air
LETT	Riga native
ENZO	Auto maker Ferrari
ASS	Jerk
ALLTO	___ the good
AMER	New World abbr.
LAND	Get, as a job
LEN	Sportscaster Berman
STTHOMAS	One of the Virgin Islands
HOLEOUT	Finish putting
OMAR	Bridge expert Sharif
FRITZ	On the ___ (not working)
FREER	Less restrained
REN	Cartoon canine
OMEN	Sign
AGREETO	Go along with
ARCHIE	Comic strip redhead
GERBER	Big name in baby food
COLLARDGREENS	Leafy dish
COSMO	Kramer of "Seinfeld"
OSHEA	Actor Milo
LIONS	Club members since 1917
GASSY	Given to gabbing
OSIER	Willow twig
ACRE	One of the "back 40"
AAA	Motorists' org.
ANTE	What's required to be "in"
ASES	"___ Death" (Grieg work)
SHOO	"Scat, cat!"
HASHBROWNS	Breakfast side dish
HEP	Wise
ALA	It goes before carte, but not horse
ODE	Keats creation
MENU	Computer list
ELSIE	Cow of note
DATE	Anniversary, e.g.
OAST	Kiln
PAYER	Check writer
EYES	Potato features
