EXCEL	Do very well (at)
ELF	North Pole toymaker
XER	Generation ___ (thirtysomething)
COE	Cedar Rapids college
EXECUTE	Carry out, as an assignment
LIZA	Multitalented Minnelli
SELMA	Alabama march city
SAFES	Bank fixtures
ERR	Goof up
LOAM	Rich soil
MAMABEAR	"Goldilocks" character
ARENA	Football bowl site
BBC	U.K. channel
BANANASPLIT	Dairy Queen offering
BOATEL	Overnight accommodations by the shore
CLEESE	John who starred in "A Fish Called Wanda"
LEOXI	Pope before Paul V, whose papacy lasted less than four weeks
AROAR	Loud, as a stadium crowd
AOL	Yahoo! competitor
FREEZEFRAME	Result of hitting the pause button on a movie
ERAS	Times on a timeline
NAE	Dundee denial
CARE	Have concern
MANDATE	Authoritative order
DIVA	Temperamental performer
TOFU	Vegetarian's protein source
TUBE	TV, slangily, with "the"
ONAN	___ empty stomach
FIRSTSTRIKE	Attack before being attacked
ASH	Volcanic emission
HATPINS	Millinery accessories
BAINES	The "B" in L.B.J.
UNITAS	Hall-of-Fame QB Johnny
ASTA	"The Thin Man" canine
ASE	Enzyme suffix
STAT	"Immediately," in the O.R.
VALE	Low-lying area
BARES	Uncovers
OTTAWAS	Chief Pontiac's tribe
OSSO	___ buco
WENT	Departed
ENS	Coast Guard rank: Abbr.
TOSPARE	Extra
ONNOTICE	Having been warned
PJS	Nightwear, briefly
JIVE	Hepcat's talk
SEEM	Appear to be
TRANSIT	Buses and trains
REAR	Derrière
NOLIE	"Honest to goodness!"
ORIOLES	Baltimore nine
POSE	Sit for a picture
POPPED	Like some balloons, questions and corn
OCASEY	Playwright Sean
NON	___ compos mentis
STRIVE	Try hard
SWAN	Ugly duckling, eventually
OCTAVO	Book size
VOTER	Person in a polling booth
SSW	NNE's opposite
SCADS	A whole slew
ITEM	Part of a list
PARROTS	Chatty birds
SNAP	Jacket fastener
CATO	"The Censor" of ancient Rome
TALC	After-bath powder
PSI	Tire pressure meas.
TINPANALLEY	Old-time songwriters' locale
PRO	Con's opposite
LAP	Nascar unit
EVA	Longoria of "Desperate Housewives"
YEN	Desire
EEK	"Horrors!"
ECARD	Online birthday greeting, e.g.
LEAVE	Go out
DYE	Go blonde, say
REPOS	Seized vehicles, for short
CSPAN	Channel with cameras in the Capitol
