LEAPT	Bailed out
LAWS	Delivery of Moses
ELHI	K-12 grades, collectively
ALEE	Direction at sea
PARR	Henry VIII's last wife
THERAMS	St. Louis squad
DIANE	Designer von Furstenberg
DIESEL	Oil burner
ISR	Mideast land: Abbr.
AFEW	Three or four, say
NOWA	"And ___ word from our sponsor"
ERESTU	1974 top 10 hit with Spanish lyrics
MAP	World view
MRBIGSTUFF	#1 R & B hit for Jean Knight, 1971
AETNA	Insurance giant
PLUGS	Promotes
ALLAH	His word is Kalam
ISFOR	Supports
REL	Family member: Abbr.
WHEREWEREWE	"I lost my train of thought …"
WAWA	Trumpet sound
BTU	A/C stat
SIERRAS	Range in Eldorado National Forest
WASTING	Hardly frugal with
TOREROS	Bulls' opponents
AWES	Wows
SLEIGHS	Toy holders, maybe
TOGAS	Loose-fitting attire
WEESMALLHOURS	Morning time, in a Sinatra song
WHAT	"Are you serious?!"
EASE	Lighten
ELIEWIESEL	Peace Prize-winning author
SLASHED	Discounted
HUN	Marauder
ORS	Places for R.N.'s
HALLS	Places for runners
EUR	___ Union: Abbr.
ETAT	Union member: Fr.
ALOU	Baseball's Matty
TERN	Sea swallow
ASIA	Locale for two Summer Olympics to date
JOINS	Splices
JOE	Steaming cupful
ORT	Tiny morsel
RULE	Dominate
TEES	Tight ends?
ORG	Web address ender
GOFOR	Like
GIGGLES	Slumber party sounds
WHEETHISISFUN	Thrill-seeker's cry
EDAMES	"Daniel Boone" actor
IMBEDS	Plants
SOUL	Heart's partner
ILIED	Perjurer's admission
IDEES	Products of la tête
LUSTY	Very passionate
SMOG	View blocker
DUEDATE	Library receipt info
TILE	One with a glazed look?
ECCE	___ signum (here is the proof)
BUGLING	Cavalry sound
LEVI	"The Periodic Table" author Primo ___
IWIN	"Heads ___ …"
NICK	Make the cut?
GETS	Comprehends
ESS	Winding curve
MICHELLEWIE	Teenage golf phenom of 2004
HID	Crawled under the bed, say
ETE	Berlioz's "Nuit d'___"
ELCID	Charlton Heston title role
EVICT	Oust
SYL	Word div.
SEEDS	Things put in rows
SINKS	Places to put home plates?
