LESSON	Scriptures reading
LATTE	Supply for a cappuccino machine
ETHEL	"I Love Lucy" role
STEAM	Cooking method
SUCROSE	C12H22O11
ONLY	As recently as
NEO	Opposite of paleo-
MILSAP	1970's-80's singer Ronnie
MAHON	Capital of Minorca
IRONIST	One who uses words in ways opposite of their literal meaning
LEFT	Southpaw's side
SOMERS	Actress Suzanne
ALANA	Actress Stewart
PANTY	Undergarment
ALMOST	"You just missed!"
AMMO	It flies through barrels
LOAFER	Slip-on shoe
MINTED	Made, as money
OSCAR	___ fever (annual February/March phenomenon)
STAB	Attempt
TELL	Show's partner
ATTUNE	Adjust
AREOLA	Colored ring
MOISTEN	Wet
NAE	Scottish refusal
THECLOTHOFMAN	British isle's textiles?
TCELLS	Immune system lymphocytes
MANCALA	Ancient strategy game played with stones
TEARY	Like many a parting
CONTENTSOFTABLE	Food, plates, silverware, etc.?
SEGUE	Smooth transition
ELMO	Muppet who's tickled
RENI	Renaissance artist Guido ___
REFER	Direct elsewhere
RAYE	Wide-mouthed comic Martha
EER	Puppet ending
SHEL	Author/illustrator Silverstein
HOJO	Chain hotel, for short
SAS	European carrier
ASTRUT	Walking like a peacock
GIRD	Encircle
IDO	Line before a reception
DEE	Hardly a mark to be proud of
DEANE	Silas of the Continental Congress
EARED	Follower of lop or dog
EDDY	Water whirl
LOVEOFLOTS	What avid auctioneers have?
LUGS	Hauls
OSLO	Winter Olympics site after St. Moritz
VEAL	Some white meat
OUTAGE	Power overload result
BAUD	Modem speed measure
BAA	Sheep's "Sheesh!"
ADD	Insert
READ	Take in the mail
ROOTLET	Tiny plant part
USE	Expend
JESU	Proper name in Masses
TRADEOFBOARD	Food-swapping at a rooming house?
REMOVER	Cartage company, e.g.
FRIO	Cold, in Colombia
BONO	Pro ___
GLAMOR	Hollywood display
MITTENS	They may be seen with snowballs
THREAD	Spiraling part
HHH	L.B.J.'s veep
ROONEY	"Babes in Arms" star, 1939
SOLI	Songs for one
NAHUM	British poet laureate Tate
NUT	Eccentric
STINTED	Cut corners
SCREWY	Eccentric
THO	Even if, briefly
THOUGHTOFSCHOOL	Fishy idea?
HINT	Charades gesture, e.g.
OATY	Like Cheerios
FIENDS	Ogres
STS	Fleet, Wall, etc.: Abbr.
SATIATE	Surfeit
SELAH	Psalms interjection
APERY	Mocking behavior
VITRO	Artificial, after "in"
ESAI	Morales in movies
SORE	Resentful
ANNA	Wife in "Finnegans Wake"
ISAK	Author Dinesen
REPENT	Evangelist's imperative
RPMS	Tach readings, for short
CHEESE	Word with big or blue
CHI	___-Town (Midwest hub)
HOE	Furrow maker
BATONS	Sticks in pits
BIFID	Having two equal lobes
ARBS	Financial wheeler-dealers, briefly
PLENTYOFHORN	What a brass band has?
OPE	Unstop, poetically
FLYON	Take, as an airline
WEIR	Milldam
EOLITH	Crude stone artifact
RNA	Factor in protein synthesis
MARS	Twix candy maker
PLIE	Barre room bend
DAYOFBREAK	When the prisoners will escape?
ATRIFLE	To a small degree
RASPING	Hoarse
SHY	Short
PREY	Moving targets?
POTATO	Vichyssoise ingredient
ROUTER	Computer networking device
CST	St. Louis sked abbr.
CYPRUS	Locale of U.N. peacekeeping forces, 1964
LISA	"The Simpsons" saxophonist
HOO	Sob syllable
HEMAN	Virile one
ODAY	Jazz singer Anita
DOWNY	Soft
AFATE	Suffer ___ worse than death
RAID	Bust, of a sort
ANTES	New kitties?
STAT	Immediately
TANGO	Letter after sierra, in radio lingo
ADDER	Viper
TESSA	"The Gondoliers" girl
NORETURNOFPOINT	Pencil-sharpening problem?
NAP	Afternoon treat, maybe
ONIT	"Let me sleep ___"
RILE	Stir
ROSS	One of the friends on "Friends"
OOPS	Unwelcome word from a surgeon
SPADE	Part of a black suit
SWAN	Whooper, e.g.
ANIMATO	Like the music in "Turkey in the Straw"
WAROFTHEWINDS	Flute competition, e.g.?
ERA	Grand time
PILATES	Popular modern exercise system
NTUPLE	Ordered group of numbers in math
RANGES	Driving areas
TENORS	Choral group
YESSES	Approvals
ANGORA	Wool source
