BOOTH	Diner option
BRAGA	Actress Sonia
OATEN	Like granola
OBELI	Symbols marking spurious passages in old manuscripts
TBA	Not yet decided: Abbr.
HIM	Half of an everyday duo
OWL	Rice University mascot
OXYGEN	About 21% of the atmosphere
WIDE	Off, as a pitch
LIST	It's just one thing after another
VENUE	Place to perform
VEL	M.p.h.
EXORCISM	Head-turning experience?
NEURON	Synapse neighbor
URIS	"Trinity" author
ETS	Some characters in "The X Files," for short
SUPERB	Top of the line
SALMON	Gravlax base
UNOS	Spanish ones
PDS	A.P.B. broadcasters
ERELONG	By and by
RETORT	Many a zinger
BIOMES	Ecological units
RABBI	Certain scholar
XII	Top of a clock dial
EXERTS	Puts into action
SARACENS	Crusaders' enemies
ANDREI	Nobelist Sakharov
ATEAM	First-stringers
YDS	Football amts.
LOUISA	Mrs. John Quincy Adams
LOSETO	Do worse than
GEL	Solidify
IGET	"Now ___ it!"
ITI	"Lord, is ___?"
RRS	Monopoly quartet: Abbr.
RIMS	Tire holders
IGORS	Stravinsky and others
LOM	Sellers's foil, in the "Pink Panther" movies
ANIMATE	Give life to
MCAT	Future doc's exam
AHAB	Queequeg's captain
WACO	1966 film western set in Texas
WAAH	Crib cry
ABRA	"East of Eden" woman
IAGO	Cassio's rival
ITION	Suffix with exped-
TORE	Ripped
TEAPOTDOME	Old White House scandal
CHINACABINETCONTENTS	143A + 144A
AILS	Has a temperature, say
CBC	Toronto media inits.
EPITOMIZE	Perfectly illustrate
TRITE	Played out
NCAA	Grp. with eligibility requirements
NOLO	Court plea, for short
COLA	Carbonated choice
IBARS	Certain supports
PIER	Unloading site
RAG	Fast-moving piano piece
FOOTBALLCHAMPIONSHIP	14A + 6A
FAD	Rage
ANDROMEDA	Perseus' wife, in myth
LEO	Writer Rosten
PSI	Pressure unit: Abbr.
HARDWRUNG	Achieved through great effort
ALL	Completely
NES	Old video game inits.
STNS	Channels: Abbr.
ATOLLS	Many of the Marshall Islands
LEER	What a rake may do
LEAK	Little hole, maybe
SNL	NBC offering, in brief
DOASIDO	"Follow me"
STOPLIGHTS	They turn at busy intersections
IOR	Super ending?
ADAGIO	Slowly
ACHS	German cries
DEFERRALS	Postponements
ALA	Taking after
GARBO	"___ Talks" (1984 movie)
PRETEEN	Sixth-grader, usually
PEE	Capital of Poland
TOR	Craggy peak
ACELA	Amtrak train
AGS	Ashcroft and Reno, e.g.: Abbr.
MOOED	Called across the field
ONES	Snake eyes
ONT	Mich. neighbor
DEAL	You might shake on it
THOROUGHFAREINNEWYORK	146A + 9A
TECS	P.I.'s
HEAP	Pile
UAR	Former Mideast inits.
EIN	German article
YET	Even so
SEEP	Percolate
SSE	Burlington-to-Brattleboro dir.
MASSE	Tricky billiards shot
BIZET	"L'Arlésienne" composer
REM	"The One I Love" group
SCALPER	Stadium parking lot habitué
PERSE	Inherently
RHONES	Some French wines, informally
HER	5-Down's partner
OUTEATS	Bests at the dinner table
OED	Ref. staple
ARIZ	London Bridge's home now: Abbr.
TATE	Poet laureate of 1700
SHY	Short
ESPIED	Caught a glance of
HERE	"Take one"
HEAVEHOS	Junkings
EYRIE	High nest: Var.
FEN	Where a water mint grows
FONT	Helvetica is one
RAH	Sound of support
GRAVEYARDINDODGECITY	1A + 145A
VEEPS	Number twos
DOORCASE	Entrance frame
IDNO	"___ idea!"
NEAT	Straight, or straightened
DON	Slip on
EONS	Long periods
COAT	Checked item
AHS	Sounds of satisfaction
ADDENDA	Extras
EARL	Rank above viscount
ODEON	Classic theater
OOZE	Percolate
OLDTELEVISIONANTENNA	20A + 142A
ONABET	For money
LEVINE	Ted of "Monk"
LEADER	Column one story
ITALIC	Leaning to the right
EMERIL	Food Network name
NYC	Home of Times Sq. and Columbus Cir.
NEDS	___ Point Lighthouse, on Buzzards Bay
EPEE	Abbé de l'___, sign language pioneer
TROT	Instruction to an equestrian
MYSTICS	Séance holders
IFEAR	"Alas ..."
CLARK	University in Worcester, Mass.
SALSA	Lively dance
AVE	Mad. ___
MASH	Moonshine mix
MERE	Insignificant
MAC	Buddy
MUNI	Tax-free bond, briefly
OPEC	Acronym since 1960
OJAI	City east of Santa Barbara
PALL	Gloomy atmosphere
FLA	Lake Okeechobee's state: Abbr.
BINGED	Bought out the store, say
GUS	Gloomy guy
OCULAR	Eyepiece
CIV	Kind of engr.
RES	___ gestae
JAR	Rattle
STEAL	Lift
STP	Racing car product
TEA	Sri Lanka export
ENDURE	Withstand
SINISE	Gary of "CSI: NY"
ALI	Louisville museum subject
TEARS	Outpouring from ducts
TEASER	Movie preview
VICES	Bad habits
ILL	"___ bite!"
PARKA	Hood's place
