PAGE	Attendant
PEELER	Implement in a kitchen
ARRIVAL	Station information
GRACEFUL	Tripping over one's feet
ESSENTIAL	Hardly necessary
CHILI	No mild pepper
CLOSER	Expert dealmaker
HOPES	Optimists keep them alive
IMP	Parent's challenge
LAOS	Part of French Indochina
INSECRET	Overtly
APRS	Yearly loan figs.
AETNA	State Farm competitor
PRIEST	Incense burner, at times
RIOTER	Tears may be brought to one's eyes
SENTRY	Ever-vigilant sort
ERRS	Chooses badly
LOMAN	Lead role in a classic Arthur Miller play
ERIE	Upstate New York county
ERAS	Eventful stretches
OPPOSITION	Friendly side in a debate
INHERE	One possible answer to "Where are you?"
LICENSE	Officer's request, at times
NNE	Frankfurt-to-Copenhagen dir.
SENNETT	Rival of Roach in early film comedy
EVENNESS	Asymmetry, as in a relationship
SPEEDER	Ticket taker?
CHASER	Wile E. Coyote, often
RAFTER	Overhead supporter
PORE	Ruminate (over)
OTTO	"How to Make an American Quilt" author Whitney ___
TRY	Determine the innocence or guilt of
LUI	Orléans pronoun
PETERI	Feodor III's successor as czar
PLED	Entreated
IRREGULAR	Well-proportioned
LASTLETTERS	Explanatory information about this puzzle is revealed by reading these in the clues
SANEST	Of soundest mind
TRUSTING	Remaining leery of
SEPARATE	Draw together
LAREDO	Its streets are immortalized in a classic cowboy ballad
REG	Govt. agency creation
GETEVEN	Take vengeance
TOP	Head
TSHIRT	Option for dressing down
OPENER	Barkeep's gizmo
PARADE	Event for a marshal
NUDE	"The Thinker," for one
BEEPER	On-call accessory
BLEEDS	Extorts
EEC	Nafta's overseas counterpart
REDANT	Tiny biter
SPADES	Rakes' shedmates
DECOY	Entrap
RELEGATE	Make more important
ESTES	Rob of "Melrose Place"
HERESTO	Opening of a toast
OVAL	Eyecup's shape
SECURED	Reinforced
INACTIVATE	Energize
AMO	Domitian's "I love"
LAVA	Leucite source
REDO	Edit menu command
NAMED	Titled
ATEN	Two fives for ___
TREY	ESPN anchor Wingo
GLOSS	Result of polishing
RENT	Split
