BABAR	Pachyderm of fiction
BAWL	Shout out
ALOE	Burn soother
BFLATMINOR	Key of Tchaikovsky's Piano Concerto No. 1
ARF	Cousin of "woof"
REGISPHILBIN	"He always asked a lot of questions"
ADAGE	Byword
ANNUAL	Like some checkups
DOGSLED	Iditarod entrant
ABA	Legal stds. maintainer
GEM	Marvel
ELAM	Jason of the N.F.L.
TAPA	Seville snack
TEENA	Pop/funk singer ___ Marie
ALULL	In ___ (quiet)
POSIT	Put forward
AIMED	Focused
TBSP	Cookbook abbr.
TOZ	From A ___
BRAINDRAIN	Loss through emigration
SERVE	Sampras asset
POTSY	Child's hopping game
ALFREDNOBEL	"He was my prize student"
DAM	One that's holding back?
ELOI	"The Time Machine" people
OREO	Snack brand that sponsored Dale Earnhardt
WOLFGANGAMADEUSMOZART	"I used to catch him passing notes in class"
DAW	Old World crow
ORIOLE	Colorful flier
LEA	Pastoral setting
IMUS	Don with a gift of gab
MANLIER	Having more hair on one's chest
IVS	Hospital lines
TDS	Cowboys make them: Abbr.
DUSK	Evening
ALOT	Loads
OVUM	What a follicle holds
TEMAS	Spanish subjects
WALTDISNEY	"He was a real character"
SLOWPACE	Leisureliness
HAMUP	Overplay
HETUP	Plenty perturbed
ALANA	Ex-TV host ___ Stewart
LEVEE	Bank that may get in trouble?
EARTH	Third of nine
OLD	Fossillike
ELISHA	Kings prophet
ANION	It has a negative charge
DUMAS	Hugo contemporary
STEEP	Pricey
WARLORD	Bygone Chinese ruler
WALLOPS	Not just 67-Down
ASIS	Sale sign
RTE	Way to go: Abbr.
DRNO	Initial Bond offering?
TANKING	Doing horribly
GAL	It comes before Friday
MARTHASTEWART	"She loved to do homework"
HEAR	Consider officially
TEN	Something to take when you're tired?
UNO	It's half due
LIAM	Former Irish P.M. Cosgrave
MAJORED	Specialized (in)
STEELIE	Playing marble
PINE	Resin source
PARABOLA	Firecracker's path
ANILINES	Oily liquids used in dyemaking
HEALS	Patches up
MANON	Puccini's "___ Lescaut"
MICHELANGELO	"He was always looking up at the ceiling"
NIN	"Cities of the Interior" novelist
JOB	Kind of action
ORBS	Eyes, poetically
BEATS	Hits
PRO	Maven
TIC	Sudden contraction
TOTES	Schleps
RANIN	Arrested
RID	Cleared (of)
ADAM	See 83-Across
NONONSENSE	Serious
KOREA	1988 Olympics locale
KILN	Place for a firing
ALEAD	Follow ___ (do detective work)
PROCEEDS	Gate
REF	Call
EFFERVESCE	Show some enthusiasm
DROVE	Herded
SAREE	Eastern wrap
IDOL	Hero
AIRBALL	Terrible shot, in hoops
ALA	___ parisienne
LEVEL	Carpenter's need
SETH	Third son of 71-Down
FRA	Bartolommeo, for one
DANIELLESTEEL	"Romance languages interested her"
ETCETC	And others too numerous to mention
LENO	Someone to see before retiring?
FEELFOR	Sympathize with
LEGO	Toy brand
MONTAND	"Z" actor
SAVED	Didn't withdraw
DISBARS	Expels
SLEEVE	Record protector
NEC	Japan-based computer co.
DENIS	St.-___, capital of Réunion
STINGY	Tight
AGREE	Acquiesce
JESSEOWENS	"He was a fast learner"
JAHAN	Shah ___ (Taj Mahal builder)
ETAPE	Public storehouse
OOHED	Expressed amazement
WARTY	Witchlike
EDINA	Minneapolis suburb
NISAN	Adar follower
SET	Stage occupier
LOST	A-mazed?
NOV	Natl. Diabetes Awareness Month
ATE	Downed
TOADIER	Sycophant
RIGA	Latvia's capital
BIOG	Bookstore sect.
ODE	Addison's "How are thy Servants blest? O Lord!"
EPI	Prefix with center
PEAT	Marsh growth
INSO	Not ___ many words
HANSCHRISTIANANDERSEN	"He used to make up unbelievable tales"
SOD	Ground cover
AER	___ Lingus
NOT	Slangy "Au contraire!"
RUN	Bleed
APSO	Lhasa ___
ETNA	Site of the smithy of Cyclops
GEORGELUCAS	"He had a very special effect on me"
NEED	Penury
DYAN	Cannon of "Out to Sea"
ARTSY	Affectedly creative
ONETO	"You're ___ talk!"
