STOP	See red?
SNOB	Hard-to-approach sort
TORO	Dominguín's opponent
OVER	Through
PALISADE	Fence of defense
SKIFF	Boat on a lake
SEDAN	Driver's choice
KNICKKNACK	Notion
INDIANA	Where Brazil and Angola are
FUND	Broker's suggestion
FIT	Clothes shopper's concern
OBIS	Accessories for Cio-Cio-San
ONSALE	Reduced
BALDERDASH	Twaddle
IMAGE	Corporate concern
SEVEN	___ X (Coca-Cola's secret ingredient)
NOVA	"Super" sight
ENNUI	The blahs
NAME	April or May
OREL	Turgenev's birthplace
DIDNT	Jimmy Webb's "___ We"
SLAV	Russian, e.g.
BORICACID	Mild antiseptic
CALENDULA	Pot marigold
CADGE	Pick up like a sponge?
CITYSTATE	Carthage, e.g.
SANKA	U.S. beverage since 1923
EILEEN	1917 Victor Herbert operetta
ETNA	"Empedocles on ___" (Matthew Arnold poem)
CANAL	Place for a gondola
CAME	Emanated
ASAP	"Urgent!"
NIGHTMARES	Sleep clinic topic
KNITTER	Woolgatherer?
INGREDIENT	It's in the mix
ASIDE	It might be in parentheses
NANNY	Bottle preparer, perhaps
DEI	Augustine's "De Civitate ___"
ESTE	One of four direcciones
IKES	Turner and others
MAGENTA	Plum relative
TICS	Body movements
GASMASK	It could be a lifesaver
MASSCULT	The arts as shown on TV, e.g.
EPH	N.T. book
DICER	Creator of small cubes
ELEANOR	Richard I's mother
TASTE	Just enough to tease
TRUCKLE	Bow (to)
REHASH	Paraphrased piece
ASHES	Winetrees
CAMELS	"Ishtar" extras
COLON	Two points in time?
AMINO	Acid head?
EDITS	Throws out a line, perhaps
ISLEY	Soul's ___ Brothers
OMAHA	Siouan tongue
RAISECAIN	Rage
RATA	Reynosa rodent
AREA	Specialty
IGOR	Hockey's Kravchuk or Korolev
NEST	Birth place
LIRA	Pound in Turkey
PANEL	Quiz show feature
PAP	Twaddle
URGE	It may be irresistible
ONES	Change machine input
ATONE	Make up
LEOS	Control-driven people, supposedly
NOSH	Chips and dips, say
PARTY	It's subject to crashing
TART	Like some apples
