AFTA	Brand seen near razors
ATPAR	For what it's worth
FARCE	Play genre
TROLL	Sing the parts of in succession
APPEAR	Be published
INCUMBENTS	They're in seats
INS	It'll cover you: Abbr.
NEET	Brand seen near razors, once
COMINGINTOFOCUS	Losing the fuzz?
URANO	Heavens: Prefix
MERCI	Word of politesse
BARTS	St. ___ (Caribbean hot spot)
ELI	"My God!," as cried by King David
NIAS	Actress Long and others
TSGT	U.S.A.F. NCO
SMEE	Hook go-with?
TARP	Cover-up during a shower
NEOREALISM	Philosophy of Montague or Santayana
PROPOSEMARRIAGE	Inquire about a union contract?
OFTENER	Not so rarely
ACLEF	Roman ___
TINCT	Color faintly
STE	One may be prayed to: Abbr.
RELATE	Connect
ETUDE	Something to practice
NOISE	Crash accompanier
ESTE	City near Padua
RETAG	Alter in a clothing store?
AMIS	"London Fields" novelist, 1989
SWAN	Trumpeter with a prominent neck
WISC	Superior setting: Abbr.
ASTA	Hairy clue-sniffer
NTSB	It may delve into a derailment: Abbr.
ONT	Home to Stratford: Abbr.
OVER	Supervising
NEMO	Seaman whose last words were "God and my country!"
TSPS	Some are level: Abbr.
NUMISMATIST	Quarter master?
STAR	Kindergarten "grade"
METES	Dishes (out)
AREOLAS	Biological interstices
VESTEDINTERESTS	They benefit personally
TIED	Even
EMPIRESTATE	East Coast sobriquet
CAB	Crane component
ROSE	One symbol of the 41-Across
OREOS	Filled treats
SOUTER	Brennan's successor on the Supreme Court
DECAF	Certain joe
EATER	One working on the side?
CARPE	Seize, in a saying
ARILS	Edible pomegranate parts
SLOPPY	Kind of joe
PROMO	Many an ad
PARMA	Province next to Piacenza
YEMEN	Mocha setting
BEG	Seek change?
BEND	River feature
ELOI	Wellsian race
GEMS	Beauties
AARON	Father of Eleazar, in the Bible
NAME	It may be dropped
AURAE	Psychics claim to see them
ELECTRICALSTORM	Meteorological shocker?
CDT	Spring setting in Chi-Town
LED	Had the edge
NOMDEPLUME	Something often written under
EMME	Model Melissa Aronson, familiarly
DISTRESSED	Hardly happy
ROAN	Relative of a chestnut
