TRAP	Golf hazard
TSP	Recipe amt.
RAIMENT	Attire
ALGEBRA	Search for the unknown?
PIER	Jetty
TEEM	Abound
TOTEM	Pole on a reservation
EROS	God of love
EEE	Very wide, shoewise
MODESTLY	In a humble way
SOME	A few
SUMAC	Poison ___
OBADIAH	Book after Amos
MESSAGE	Bit of E-mail
ERS	Hosp. areas
SALIC	___ law (old Germanic legal code)
COCKBRAINED	Foolish
OREO	Lunchbox treat
UBER	Opposite of unter
PIGEONTOED	Having feet pointing inward
NILE	Cairo's river
MASS	Physics calculation
MERCIES	"Tender ___" (1983 Robert Duvall film)
EGADS	"Holy smokes!"
GOOSENECKED	Flexible, like some lamp shafts
WEB	Surfing site
WES	"Scream" director Craven
KLM	Dutch airline
ASOCIAL	Not much for mixing
AILEY	Choreographer Alvin
LEX	Big Apple subway stop, for short
ENROBE	Attire
ORE	Mine metal
TITO	Onetime Yugoslav chief
TEENS	Rebellious time
AGE	The time of one's life
STARR	Brenda of the comics
SELLS	Markets
SLOTS	Casino machines
HEX	Bewitch
EAGLEEYED	Having keen vision
GRENADES	Soldiers' "pineapples"
DIP	Quick swim
PUP	Baby beagle
PIT	Raucous card game
UKULELE	Tiny Tim's instrument
PERIDOT	August birthstone
IRONY	Nonliteral humor
NIGHT	Dusk to dawn
GEORGIA	Where Athens is
HERSELF	Feminine pronoun
TSK	"Naughty, naughty!"
IKE	34th Prez
NETS	New Jersey hoopsters
TEPEES	Indian homes
TALL	Like most N.B.A. players
TUREENS	Soup dishes
ENSUE	Follow
MAC	PC alternative
MIKEY	Boy in Life cereal ads
ORK	Home planet in a 1978-82 sitcom
LINDA	One of the McCartneys
MILKERS	Dairy workers
MCMX	1910, on cornerstones
EGOS	Stars have big ones
REDS	Cinergy Field team
RAP	Hip-hop
DUCKLEGGED	Like one's fun house mirror image, maybe
USE	Put to work
DYE	Hair coloring
ALOU	Baseball's Moises
ESME	Salinger dedicatee
DOILY	Lace place mat
PETE	Journalist Hamill
SEXY	Arousing
SAFE	Protected
