RIVET	Fix firmly
RANKS	Admiral and others
IVANA	The first Mrs. Trump
VIVID	Like some imaginations
ELEC	T.V.A. output
TALKTO	Have a word with
ARIB	Bust ___ (laugh hard)
ATONCE	On the double
RAVIOLI	Filled fare
IBEX	Alpine goat
BURNOUTS	Rat race casualties
CALI	Colombia's second-largest city
CANCEL	Alternative to "Continue" in an online order
AMOK	In a frenzy
LEOS	13 popes, so far
INK	Tattooist's supply
AVILA	Walled city of Spain
TABU	"Forbidden" perfume brand
AMEN	Service closer
NAVEL	Focus of some contemplation
OVER	Control tower word
NOOK	Cozy corner
KNICKSNIXNICKS	Hoopsters turn down singer Stevie?
SAS	Airline in the Star Alliance
ITSOK	"No harm, no foul"
SAD	Singing the blues
TACO	Filled fare
OTE	Taxonomic suffix
LOSELOUSLOOS	Misplace comic Costello's privies?
LIP	Sass
ONE	Pee Wee Reese, for the Dodgers
OHMY	"Heavens!"
OROS	Top prizes at the Juegos Olímpicos
SESE	Zaire's Mobutu ___ Seko
SAKI	"The Square Egg" author
STEM	Part of many musical notes
ARNE	Former Minnesota governor Carlson
KILT	Piper's wear
INTO	Keen on
HRE	Maximilian I's realm: Abbr.
TRIPLES	20-, 26-, 46- and 56-Across, homophonically speaking
LIMIT	The sky, it's said
ELEMENTS	Things on a table
SEE	"Get it?"
ESKIMOS	Yup'ik and others
INT	Cause of a turnover: Abbr.
ENL	Like a petty officer: Abbr.
ILES	Martinique et Corsica
STRIATE	Make furrows in
NYSE	Org. with a closing bell
METEMEETMEAT	Apportion hamburgers to track runners?
EVINCE	Show clearly
MAGPIE	Heckle or Jeckle of cartoons
ETH	Haile Selassie's land: Abbr.
ASTRAL	Like some planetarium projections
VIM	Get-up-and-go
RATS	Candidates for witness protection programs
TIM	Secretary Geithner
TINES	Sticking points
ITALO	Author Calvino
METAL	Like most golf woods, nowadays
WRITERIGHTRITE	Compose the appropriate ceremony?
WIPE	Towelette, e.g.
REEK	Need a bath badly
REAP	Take in
RACY	Blue
WIEN	Austria's capital, to Austrians
WOP	Doo-___
NEAP	Kind of tide
RANAT	Rushed
OPEC	Grp. including Nigeria and Venezuela
TATI	"Mon Oncle" star
ACELA	Speedy Washington-to-Boston link
PEKE	Chinese toy, for short
SPEE	German admiral who went down with the Scharnhorst
LYSOL	Custodian's supply
