ALFALFA	Cattle feed
ACETATE	Overlay
LAYITON	Flatter
FREMONT	First G.O.P. presidential candidate
APB	Broadcast inits.
LOAD	Basketful, say
FOLIO	Book part
ALLMAN	Absolutely studly
JETPACK	Part of a spacewalker's gear
JULIUSII	Papal patron of Michelangelo and Raphael
ERAT	"In principio ___ Verbum et …"
TBS	Broadcast inits.
PAAR	Punnily titled 1952 quiz show "Up to ___"
ANGORAS	Some cats
CENSURE	Tongue-lashing
KRASNER	Abstract Expressionist Lee
CARPOOL	Ecofriendly way to work
URBANER	Relatively polished
EYEBALL	Examine
LASAGNA	Garfield's favorite food
TIM	___ O'Hara, Bill Bixby's role on "My Favorite Martian"
DIMWIT	Not the brightest bulb on the Christmas tree
WHOAREYOU	Question after nonrecognition
ROSS	Nellie ___, first female state governor
ATOB	Volume 1 of an encyclopedia, maybe
BEREFT	Cut off from, with "of"
OAHU	"Magnum P.I." setting
RUN	Score
TONER	Beauty product
RAYS	Beams
NOSE	Muzzle
ERGS	Tiny metric units
TARE	Container weight
TATTOO	Kind of artist
ENTRAP	Catch
PEPS	Picks (up)
AIRTASER	Real stunner
THAD	Jazz musician Jones
EYESRIGHT	Marching order
SEARCHME	"Dunno"
GRAFSPEE	German ship lost in the Battle of the River Plate, 1939
GRIMACE	Possible reaction to bad news
RAMONES	"Bop 'Til You Drop" band, with "the"
AFFRONT	Put down
SATINS	Fine upholsteries
INGROUP	Clique
NURTURE	Take care of
STEEPER	Not so reasonable
RAFT	Host
SAYA	"I won't ___ word"
ALLPRO	Special team member
DONUT	Breakfast takeout
IMF	World org. since the 1940's
ROLO	Popular caramel candy
OLEAN	City on the Allegheny
OGRE	Villain
MORA	Jim ___, onetime N.F.L. Coach of the Year
AUTH	Bibliographical info: Abbr.
SCULLS	Charles River sights
SLOT	Opening
SAPP	N.F.L. defensive tackle Warren
RTE	Course: Abbr.
ANOUILH	"Antigone" dramatist
ICE	Barkeep's supply
PEASOUP	Epitome of thickness
STA	Radio broadcaster: Abbr.
CENTCOM	Military hqtrs. group
RAPTURE	Anticipated Christian event, with "the"
ESTHETE	Connoisseur
ONPAPER	Conjecturally
