DESI	"The Lucy-___ Comedy Hour"
DEB	One who is thrown a ball
ETATS	Divisions politiques
SATIE	"Three Pieces in the Shape of a Pear" composer
ISHTAR	Babylonian love goddess
IZOD	Preppy sportswear label
IRAN	A theocratic republic
ZEN	Kind of state
ONAPAR	Even (with)
DENIMS	Casual wear
FINAL	Set in concrete, so to speak
FAR	Wide's partner
ILO	U.N. workers' grp.
NEBR	Neighbor of Colo.
ARIANE	French rocket launcher
LONNOL	Exiled dictator with a palindromic name
APSOS	Lhasa ___ (dogs)
ASPERSE	Bad-mouth
PTA	Class-conscious grp.
SETSBAIL	Puts a price on freedom
ONEHORSE	Small and insignificant
STREAKED	Barely ran
ETAS	Airline info, for short
RENE	French film director Clément
ALERO	Oldsmobile sedan
STENT	Surgeon's insert
BATHMANANDROBIN	1997 action film about a spa duo?
MATADOR	Charge dodger
DABO	Olivia ___ of "The Wonder Years"
PATER	Devonshire dad
TITAN	Saturn's largest satellite
PIA	Journalist Lindstrom
RANGE	Statistical measure
GOODTURN	Favor
SHE	Filly, but not a billy
SEAT	Candidate's goal
MAMBOS	Latin hip-shakers
MOT	Clever comment
OFF	Away
START	Turn on
NOOR	Former queen of Jordan
BOA	Neck feathers?
RAZORSOFTHELOSTARK	1981 thriller about bygone blade holders?
ZONE	Defense type
HAHS	Gloaters' cries
TVS	Sports bar staples
IRS	Return addressee
IDTAG	Name provider
RAHRAH	Gung-ho
SNEEZE	Sternutation
DOT	Dash alternative
FAA	Safety org.
DEVISE	Hatch
DANNON	Yoplait competitor
NBAER	Bull or Cav
SAW	Grasped
SKY	It's above the horizon
AFRO	Jimi Hendrix's do
WARD	Charge
RHETT	Butler of fiction
ECG	Ticker tape?: Abbr.
TROUPE	Corps de ballet
SLED	Spill producer
THEBREAKFASTSCRUB	1985 teen movie about morning washup?
AMENRA	Egyptian god of the universe
SHEAF	Bundle
BIP	Marceau's everyman
AREA	Turf
MYRRH	Biblical gift
GORILLA	Thug
LLAMA	Wool producer
LUGERS	Some pistols
AGENAS	Gemini rockets
GAZETTE	Journal
TOP	Go over
TIESINTO	Connects with
ODETS	"Awake and Sing!" playwright
THEM	Outsiders
SEND	Fax function
UNPLUGS	Removes from power?
SETTS	Small paving stones
HEROINE	Wonder Woman, for one
EMF	Techno-funk band with the 1991 #1 hit "Unbelievable"
AHEAP	Scads
ADS	Pitches
AGEE	Philip who wrote a 1975 C.I.A. exposé
PERMSOFENDEARMENT	1983 tearjerker set at a salon?
SEAR	Burn
ORBIT	Circle
ARMY	Group of companies
ROYALWE	Formal pronoun
PAST	Over
POSTDATE	Prepare for later, in a way
ABHORRED	Couldn't stand
SLAVERED	Drooled
TAV	Hebrew letter
SAFER	"60 Minutes" correspondent
MDS	"ER" roles, briefly
ROARAT	Consider extremely funny
OBLADI	Start of a Beatles title
DISCUSS	Hash out
ABA	Suit makers' org.?
AVS	School communication depts.
AMY	Novelist Tan
ARP	Surrealist Jean
SSS	Draft letters
SHAVINGPRIVATERYAN	1998 war film about a beard?
GALWAY	Irish county or port
PRAISE	Kudos
ATCO	1960's-70's record label
TRAUMA	It comes as a shock
EARWAX	Canal buildup
NIGHTS	When some guards work
TOV	Yom ___ (Jewish holiday)
STAR	Standout
TSTRAP	Woman's shoe type
LIBS	Ad ___
BEAUT	Humdinger
SEINE	Île de la Cité locale
DRE	Hip-hop's Dr. ___
COLAS	They're effervescent
SSTS	Former J.F.K. sights
CAR	Aries or Taurus
AWGEE	"Shucks!"
ARTS	Song and dance
ARRAU	Pianist Claudio
ANY	Whatever
WISHYOUWEREHAIR	1987 British film about a balding man's lament?
HEE	Half a laugh
YRS	Sr. and jr.
ELI	Samuel's teacher
RAW	Green
TEENS	Cold forecast
ASTER	Frostflower
MALT	Brewer's stock
TUNA	Sushi fish
EDDYS	Singers Nelson and others
YESES	Assents
AXIS	1940's foe, with "the"
STEW	Slow-cook
