SETOSE	Bristly
SASSIER	Relatively smart
ESTELLES	George's mother on "Seinfeld" and others
THRILLAINMANILA	HBO showing of 1975
OLAN	1937 Oscar role for Luise Rainer
SANER	Less likely to lose it
ENG	College dept.
RECAP	Sports anchor's offering
RENT	Torn
EGGO	Kellogg's brand
CASTOFTHOUSANDS	Epic achievement?
AMOEBA	Blob
PENNED	Put down
ASHLAND	Henry Clay's estate in Lexington, Ky.
DEFLATE	Let down
THEGAME	1997 Michael Douglas film
TOVES	Carroll creatures
HIE	Scoot
STRANGEGOINGSON	Unexplained phenomena
GIFS	Some PC image files
SEINE	Quai d'Orsay setting
FIVETOTEN	Possible sentence in the slammer
ILL	Unfriendly
ROLFE	Whom Pocahontas married
OPINES	Conjectures
OBE	U.K. award
ELLA	"___ and Louis" (1956 duet album)
ARMAS	Two-time A.L. home run champ Tony
PASSINGFAD	It doesn't stay in for long
IMMUNE	Exempt
NOIT	"___ can't be!"
GOTTA	Stevie Wonder's "___ Have You"
REARLIT	Like silhouettes, typically
LOVE	Something often fallen out of
MOOT	Subject to debate
SIMONE	1950's-90's singer called "The High Priestess of Soul"
SMITHS	Ones forging
SPONSOR	Supporter
SUBSIDES	Falls off
NAVE	Congregation location
PUTTOUT	Finish a hole
TERNARY	Threefold
JAMSESSION	There are no plans for this
JASPER	The "blood" in bloodstone
AHERNE	Brian of "Juarez," 1939
SATED	Full
IBAR	Bridge piece
AUBE	18-Across feeder
AHA	"Of course!"
ABNER	Footballer Haynes
RAZOR	Close cutter
SSR	Former state: Abbr.
SENORITAS	Some misses
OSAS	Cub bearers, in Spain
ROCK	Swing alternative
INE	Glass finish
AGAIN	On the other hand
GERE	"The Cotton Club" star
PRISONEROFZENDA	Classic 1894 swashbuckler, with "The"
FED	Put paper into
ENLACED	Bound
REORDER	Satisfied customer's request
REASK	Send another invitation
DRESSY	Sharp
