STEMS	Arises
SHOP	Word with chop or sweat
TARA	The O'Haras' home
EROS	Asteroid discovered in 1898
MENSA	Test group?
SMOKBEARS	What CBers watch for
KLIMES	Florida fruit
KNOTES	Some addresses
LARIAT	Rodeo item
IBARS	Bridge supports
MONETARY	Like some rewards
ERGS	What solar flares are measured in
SSE	Ship's log entry
AGA	Officer of the Ottoman Empire
AHA	"So that's it!"
GOLF	Make the rounds?
ACTIVE	Still serving
SHMO	Jerk
STREETCAR	Vehicle for Blanche DuBois
HEEL	Part of a pump
MAGI	Amahl's visitors
OMOO	Melville novel
HAREM	Private sector?
NABORS	Hit actor of 60's TV
HOCKTEAM	The Jets or the Sharks
KEDIN	Added to the database
ORONO	Home of the Black Bears
ORANGE	Florida fruit
ALTEREGO	One of the "three faces of Eve"
PASSK	House detective's item
TIRES	They get their kicks
FIDELIO	Opera featuring the "Prisoners' Chorus"
ABREAST	Au courant
RANI	Rajah's spouse
SMU	Eric Dickerson's alma mater, for short
SAWBONES	Medic
MINORK	Restrained mood
USELESSLY	In vain
VIE	Try
MOS	Crooks' patterns, to cops
MICKS	They'll knock you out
OCALA	Neighbor of Silver Springs
SELES	Hingis rival
EAST	It may be due
ANAIS	First name in erotica
NOM	Jean or Jacques
ENTERK	Computerniks push it
ELLAS	Greece, to the Greeks
RAMBO	Macho military type
KWEST	Where Hemingway wrote "A Farewell to Arms"
ICEMAN	O'Neill masterwork, for short
MOSEL	German wine valley
BROWNE	Singer Jackson
BSA	Dan Beard's org.
CLAW	Scratch
CALORIC	Like rich desserts
CARIOCA	Variation of the samba
SYMBOLS	Semiotics study
SOUPERS	Pea-___ (dense fogs)
PALME	Assassinated Swedish P.M.
PATE	Spread
KLESS	Like a combination lock
AAA	Battery type
ANTHOLOGY	Treasury of sorts
OREO	Three-ply snack
ARABS	Kaffiyeh wearers
SASE	Request from an ed.
ERN	Directional suffix
ECO	Prefix with friendly
MONKSUIT	Tails
MACARENA	1990's dance craze
ONK	In tune
III	George ___
SOT	Lush
LICIT	Allowed
IDES	Julian calendar date
ANE	Hydrocarbon suffix
SPIES	Spooks
STARK	Ringo's original surname
KES	Evelyn who played Scarlett's sister
KGRIP	Best boy's colleague
ELENA	Turgenev heroine
SAGER	Lyricist Carole Bayer ___
DOOHICKS	Gizmos
IRENEE	Part of E. I. du Pont
LEI	String of pikake flowers
TROD	Set foot (on)
ROMPS	Easy wins
OLIOS	Hodgepodges
DONKS	They'll bray for you
GLADE	Forest clearing
DISKJOCKS	Spinners
CORA	"The Postman Always Rings Twice" wife
AYR	Burns's birthplace
ADE	Suffix with 24-Across
PAOLO	Painter Veronese
POOPEDOUT	Lost momentum
REGIS	First name in TV talk
ALERTED	Tipped off
TOE	___ loop (skater's jump)
ENTRANTS	Contest hopefuls
STORMIN	Arrive angrily and abruptly
THUD	Sound of impact
INES	___ de Castro (storied noblewoman)
ONEONE	Soccer score, perhaps
HOKPOK	Party dance of old
PARKAS	Mountaineers' wear
AURAS	Emanations
STYRON	"A Tidewater Morning" author
GENET	"The Maids" playwright
KSUP	Excites
KCASES	Purse items
SEDERS	Exodus commemorations
SSS	Draft org.
JUT	Project
YEA	Vote in the Senate
RECEDES	Dwindles
ELITE	Gentry
SEPIA	Mathew Brady shade
MALORYS	___ "Le Morte d'Arthur"
MATA	First name in espionage
ALUM	Astringent substance
LARA	Byron poem
STUB	It's shown to the usher
SALAD	Iceberg's location
SEAS	The Red and the Black
DEBAK	Noted heart surgeon
BING	Cherry type
AUTO	Aries or Taurus
KMAN	Essential company figure
ALACARTE	Individually
EPA	M.P.G. determiners
DENISE	Poet Levertov
DNA	Means of ID
OPIUM	Yves St. Laurent fragrance
TURKSOUP	Thanksgiving aftermath
NATTER	Run on
UINTA	Utah's ___ Mountains
AMAS	Latin trio member
NBA	Draft org.?
ASSESS	Judge
TAGON	Append
