VET	Doberman doc
VANYA	Chekhov's "Uncle ___"
EBOAT	W.W. II menace
TURNS	Changes colors
MARC	Antony of antiquity
METE	Dole
ALEC	One of the Baldwins
RIAL	Qum coin
CASINO	1995 De Niro film
ARSON	Match play?
ARAPAHO	Oklahoma Indian
ROPE	Skip it
SMARTNESS	Savvy
OER	"___ the ramparts..."
NOT	"___ to worry"
ABUT	Touch
TAKES	Movie shots
ELIA	Director Kazan
ROMEO	Tragic Montague
NORA	Asta's mistress
TEAS	Afternoon affairs
APART	In pieces
YANKEECLIPPER	Joe DiMaggio's nickname
EACH	Apiece
PER	Apiece
ATSEA	Completely lost
NEA	Teachers' grp.
TAI	Mai ___
ADAMS	President from Braintree
ISLET	Cay
SCISSORHANDS	"Edward ___"
IAM	Beatles' "___ the Walrus"
SRO	Sign at the Bijou
SEPTA	Dividing membranes
ANE	Chemical suffix
PAM	Dawber who played Mindy
PYGMY	African tribesman
AERIE	Hawk's home
MAELSTROM	Powerful whirlpool
HARE	Hounds' quarry
ONEAL	Basketballer Shaquille
YEAR	2001, for one
REL	Fam. member
MOPED	Cousin of a minibike
EER	Always, to Keats
DAB	Smidgen
ESME	Salinger heroine
GREED	Miser's motivation
DESERTS	Gobi and Kalahari
TEAR	Go like lightning
REDS	1990 World Series champs
SST	J.F.K. sight
MILLERBARBER	Member of the P.G.A. Seniors Tour
RUR	Capek classic
BEATEN	Whipped
REEDS	Bassoon and oboe
YES	Exclamation of affirmation
SUE	Buddy Holly's "Peggy ___"
DECAF	Coffee preference
CDROM	PC feature
AGANA	Capital of Guam
FEWER	Not as many
THERAZORSEDGE	Somerset Maugham novel
HOOP	Showy earring
ZANE	"Riders of the Purple Sage" author Grey
OPIE	Ron Howard role
REDD	Comedian Foxx
JUROR	Panel member
JAR	Jelly holder
UFO	ET's ride
TAPE	Winners break it
DRAW	Select at random
AFOOT	Under way
ENID	Home of Phillips University
SONE	Unit of loudness
ROMPS	Wins going away
NEED	Requirement
MAR	Damage
