EGGS	With 14-Across, breakfast order?
EEG	Result of a certain med. test
GAR	Long-nosed fish
GSA	Govt. office supplier
SYBARITES	Lovers of luxury
ETS	U.F.O. crew
ELYSEE	Parisian palace
TEA	What the Mad Hatter pours on the Dormouse to wake it up
SIKH	Turban wearer
GROUND	See 16-Across
GLOWED	Was radiant
ROT	Balderdash
ONTAP	Ready
UDALL	One of a Western political family
NOWAY	"Keep dreaming!"
DNA	"CSI" topic, often
EASY	See 1-Across
LEI	Romanian "dollars"
LONDON	With 8-Across, world's oldest subway system?
GRAB	Show greed or impatience
YAK	Fat-mouth
OTTAWA	Pontiac, for one
ADS	___ by Google
DIVIDEUP	Split
HAW	"Left!"
ADHERENT	Stalwart supporter
ALA	Like
DECRIED	Condemned
DUCAT	Coin in "The Merchant of Venice"
EPOCH	Eocene, e.g.
CRATE	Jalopy
DROPOUTS	Classless group?
DEEPLY	With fervor
ELECTION	Run for it
UPRIVER	Away from the mouth
HDL	Good cholesterol, for short
COATI	Raccoon relative
ONE	With 42-Across, bogey?
NAN	Tandoori-baked bread
ERECT	Put up
ROASTLAMB	Traditional Easter entree
EPCOT	Florida tourist attraction
CRIME	Bookstore section
TATER	Spud
ACTED	Put on a show
PAR	See 34-Across and 45-Across
COPRA	Coconut oil source
THESE	"___ Eyes" (1969 hit)
ONE	With 42-Across, birdie?
TACIT	Implied
URU	Winner of the first World Cup: Abbr.
RATITE	Many an Australian bird
NOISOME	Sickening
ORSINO	"Twelfth Night" duke
SNAPAT	Answer angrily
SPIRO	Dick's partner
NAURU	Pacific republic
ATSEA	Not like a landlubber
TROTTER	Entry at a hippodrome
PAT	Like some answers
TSK	When repeated, it might accompany a finger wag
KURT	Mathematician Gödel
SNL	Longtime TV inits.
PIUSII	15th-century pontiff who was the only pope to write an autobiography
PAY	Subject of union negotiations
ISR	Neighbor of Syr.
UZI	Weapon in "The Terminator"
ZOO	Morning ___ (radio format)
AMIE	Confidante, say
MIO	Puccini's "O ___ babbino caro"
IND	Neighbor of Ill.
EDY	Joseph who co-founded an ice cream company
ARREST	See 70-Across
RON	Actor Moody of "Oliver!"
MIND	With 72-Across, motto of a fitness trainer?
YOUARE	With 67-Across, dreaded words from a cop?
TOO	"___ bad!"
BODY	See 69-Across
