AGRA	Mogul capital of India
ASHCAN	Depth charge
GLORIA	Extolment, in hymns
ROPERS	Cowboys
ABET	Be a partner in crime
SWAMI	Pundit
SSR	Obsolete geog. abbr.
WEEDY	Like unkept yards
AWAITS	Stands by for
MEMPHIS	"Aida" setting
IRS	Returns home?
GONER	Dead duck
GALOP	Lively dance in duple time
OLIVIER	"Sleuth" co-star
NAVARRE	Old 48-Down kingdom
EMILIA	Iago's wife
ROAST	Rake over the coals
SCAT	Torme forte
STREAMIN	Arrive in droves
CHELSEAGRAMMAR	Star of a sitcom in which the First Daughter learns syntax?
ARISTA	Whitney Houston's record label
TUNEIN	Get, as a radio broadcast
SLOB	Dinner's often on him
SEWER	"Les Miz" setting
ALAMO	1836 battle site
THRU	Like some traffic
HOPEDREAMS	Movie about a boy's Presidential aspirations?
DEBAR	Prohibit
LIVIA	___ Drusilla (mother of Tiberius)
REIN	Trigger puller?
CRETE	Home of the Minotaur
DIP	Tango maneuver
OVALS	Places for races
ELSE	95-Down finisher
AIR	Cause of inflation?
BLYTHESPIRIT	Presidential biography by Noel Coward?
LUIGI	One of Nintendo's Mario Brothers
ELAND	African antelope
STROHS	Detroit brew
ASTI	Italian wine region
NASSAU	___ Hall (historic Princeton site)
SPY	Scout
SILT	Bank deposit
ERA	Great time
IMEAN	"That is to say..."
ISAY	Essex exclamation
PRIG	Stuffed shirt
GASRANGE	Kitchen fixture
SARTRE	"Dirty Hands" playwright
TRIPS	Comings and goings
ASIA	China setting
AWRY	With a twist?
TIDY	Spruce
TRAIPSE	Gallivant
IBERIAN	Basque, e.g.
DIRECTLYTOYALE	Where the President went without collecting $200?
GAP	Gulf
PSYCHO	Hitchcock classic
NOR	Christie's "___ M?"
TWANGER	Country guitar player, e.g.
TAKETHAT	Defiant words
ECLIPSE	Overshadow
RAINHAT	Umbrella alternative
RBI	At bat stat
DISSEDHILLARY	What the First Lady's critics did over a bottle of bathtub gin?
DEE	Balmoral Castle river
ENDOR	Where Gideon defeated the Midianites
LOOPY	Off one's trolley
LOLITA	Humbert Humbert's obsession
RCA	Indianapolis's ___ Dome
AERIE	Cliff hanger?
INK	Publicity
RYN	Rembrandt van ___
SPOOKY	Skittish
DALI	Dreamscape artist
DUO	Burns and Allen, e.g.
IRENE	One of the Horae
ACDC	Current choice
CLEFS	Staff leaders
SOLE	Exclusive
CUMIN	Pickle flavoring
COS	Inc. listings
PICK	Basketball maneuver
ONHOLD	Shelved for now
OLGA	"The Three Sisters" sister
DRYING	On the clothesline
PIT	Hollow
OOMPH	Pizazz
SAT	Gained a lap
ALGORERHYTHMS	Mathematical rules governing the Vice President's macarena?
ARCS	Moves like a comet
HITIT	Band command
MAUVE	Purple shade
ASA	Hard-rock connection
ENLARGE	Turn into something big
AWEATHER	Into the wind
FYI	Memo starter
AAA	Prominent tower
FRET	Agonize
FUR	It's a wrap
YWCA	Rec center
ONSITE	At the scene
OVERICE	Not neat
NABOKOV	60-Down's creator
EPISODE	Show piece?
TUTU	1984 Peace Nobelist
TERSE	Clipped
ESTES	Children's author Eleanor
ETHNIC	Italian or Mexican, e.g.
SWOOSH	Rushing sound
TVA	New Deal proj.
THREAT	Terrorist tactic
NIPS	Narrowly defeats
SPECIE	Coin of the realm
VERBAL	S.A.T. score
BISSET	Actress Jacqueline
ARSENE	Sleuth Lupin
LAYSON	Attacks violently
TWOA	60's draft deferment category
THEBIGTIPPER	Vice President's wife at the Starlight Diner?
TESTS	They're held for questioning
ILOSE	Words of resignation
PEKES	Short dogs, for short
IRA	Belfast grp.
HOYT	Baseball Hall-of-Famer Waite ___
ERROL	Basil's "Captain Blood" co-star
SEE	Catch on
SASSY	Pert
ASKS	Grills
NOAH	Flood avoider
SEIKO	Timex rival
SOCKSESSES	Head and tail of the victorious First Cat?
SAG	Wilt
SUE	Good name for a lawyer?
ISLE	Avalon, for one
TACOS	Chihuahua bites
ADIEU	Bye word
KENO	Atlantic City attraction
CHER	"Clueless" lead role
STEVE	"___ Canyon"
GEESE	Skein game?
STEN	Contemporary of Garbo
