NETFLIX	Blockbuster alternative
NFLDRAFT	Annual sports event with seven rounds
EAUDEVIE	Brandy
TIMEZONE	Mountain, e.g.
FRI	What many workers look forward to: Abbr.
LEES	Refuse
ISRED	"The East ___" (1960s Chinese anthem)
XTERRA	Nissan model
PVCPIPE	Material for drainage lines
PACECARS	Track warm-up leaders
VERSO	Back of a leaf
CRUE	"Red, White & ___" (2005 rock album)
POS	On the plus side?: Abbr.
ISABEL	Deadly 2003 hurricane that hit North Carolina
PODUNK	It's far from a metropolis
ELENAS	Figure skater Sokolova and others
FAIREST	Just as anyone can be
AEROSOL	What some bombs release
LUMIERE	Early filmmaking brothers Auguste and Louis ___
CRUSADE	What a cause might turn into
DDE	Noted 1915 West Point grad.
SERIESE	Bond type whose first purchaser was F.D.R.
IAMB	Foot type
BUN	Atkins diet no-no
REZA	"No god but God" author ___ Aslan
AWASHIN	Totally covered by
DRACO	___ Malfoy, bully in Harry Potter books
JENA	German city where Napoleon defeated the Prussians
JANEDOE	Miss No-Name
AVOWS	States
SLOOP	Relative of a cutter
AMA	Org. with a Council on Ethical and Judicial Affairs
BALKS	Pitch problems?
BURNT	Black, say
FINALS	May day events, perhaps
SFO	Hub NW of LAX
BRAUN	Big name in coffee makers
ACE	Buddy, in slang
TEESOFF	Ruffles
FEVERFEW	Plant used as an herbal remedy for headaches
SCREWIT	"Oh, I give up!"
WARCRIES	Rallying slogans
ISTHATSO	"Who'd a thunk it?!"
THEONION	Paper that calls itself "America's Finest News Source"
HOOEY	Rot
YALL	Dialectal contraction
ENDASH	Minus sign equivalent
SCRIP	Fractional currency
SCHWAB	Brokerage giant
CLOACA	Zoological cavity
RAILON	Criticize harshly and repeatedly
VAC	A sucker, for short
COOKED	Like some books
TORTE	Layered dessert
CLAN	Reunion gatherers
DELOS	Apollo's birthplace
DARLA	Friend of Porky
SCUSI	"Pardon me," in Parma
ECHO	Be reminiscent of
HOI	Part of "the many," in Greek
OARLOCK	Scull part
OOPS	Dropping sound
KWON	Tae ___ do
RAN	Printed
WALDORF	Noted Art Deco building in the Big Apple, with "the"
DUD	Bomb not bursting in air?
KUWAITI	Dinar spender
ABE	Bart Simpson's grandpa
ACOUPLE	Some
ESOBESO	1962 hit with the lyric "Like the samba sound, my heart begins to pound"
BANDSAW	Shop tool with pulleys
DINESON	Has at a spread
