BOLO	Skinny tie
BETH	"Little Women" woman
OMOO	Sequel to Melville's "Typee"
LION	MGM icon
OLMECS	Mexican natives of old
VIAL	Specimen holder
VICTORIA	"We are not amused" speaker
ISH	Suffix with bull or bear
ANOSE	Win by ___
LOFT	Send up
EKING	Barely maintaining, with "out"
ENSURED	Guaranteed
KOWTOWED	Bowed and scraped
ISIT	"From where ___ ..."
NENE	Hawaiian goose
GEED	Made a right turn
EMIL	Jannings of "The Blue Angel"
ISNO	"That ___ excuse!"
NOSEE	"Long time ___"
TOOMUCHOF	Start of a thought by 29-Across
USHER	Family name in a Poe story
SWINE	Trough diners
HONEST	Upright
STRUTTED	Imitated a peacock, maybe
RCA	Camcorder maker
CHORE	Tedious business
RANGES	Extends
CRO	___-Magnon
QUESERA	Start of a Doris Day song title
QUEST	Pilgrimage
URIAH	Bathsheba's husband
ENNUI	Lassitude
MAEWEST	See 17-Across
MYOPIA	Mr. Magoo's problem
ELIAN	Name in 2000 headlines
STOOD	Prepared for the anthem, say
TANKS	Aquariums
URN	Java holder
RINKY	___-dink
KOP	Keystone fellow
DELTA	Pythagorean triangle?
EINE	German article
ENNOBLED	Exalted
AGOOD	Thought, part 2
DISLODGE	Knock loose
DION	"Titanic" soundtrack singer
SAUNA	It'll make you sweat
AGNATES	Relatives on father's side
EPPIE	Silas Marner's foundling
ELATE	Make happy
AOK	Green light
THINGIS	Thought, part 3
ITS	Roy Orbison's "___ Over"
ISLANDS	Major keys?
ASTROS	Nolan Ryan and others
ONT	Prov. bordering Hudson Bay
GALAS	Fancy-dress dos
GEODE	Sparkly paperweight
LAMBASTE	Light into
LEAD	Front-runner's edge
AXLE	Wheel shaft
MULE	Stubborn sort
TWAS	Start of a Yuletide reading
OTTAWA	Seat of Parliament
AFRO	1970's coif
WUSS	Weak one
ALKA	___-Seltzer
EXULT	Jump for joy
WONDERFUL	End of the thought
NOV	Remembrance Day mo.
ALLEE	Path in Paris
ADOG	"My Life as ___" (1985 film)
ORSK	Ural River city
DEEDS	Exploits
SEVE	Golf's Ballesteros
SOSA	One of Maris's overtakers
