ABBA	"Mamma Mia" group
ACHE	Suffer from a charley horse
BOER	Transvaal trekker
BEAN	Vanilla ___
AND	"What else?"
DRIVE	Play chauffeur
DENIRO	"Meet the Fockers" co-star, 2004
RATS	Hamelin's problem
ITHE	"___ Jury" (Spillane novel)
VEER	Zig or zag
ENC	S.A.S.E., e.g.
LOAN	Money to help one through a tight spot
LOOSEN	Relax, as rules
OPUS	Berkeley Breathed comic strip
AIDE	Lieutenant
NEST	Fit snugly
COEN	Either of two directing brothers
EATEN	All gone, as dinner
OPIE	Mayberry boy
HEADINTHECLOUDS	Daydreamer's state
IRATE	Really hot under the collar
LANKY	Like Lincoln, in physique
ERN	Directional suffix
RISER	A choir may stand on it
ASSET	Good thing
TAR	Sailor, colloquially
TRES	Uno + dos
ONE	Digit in binary code
ORTH	Straight: Prefix
HEARTOFDARKNESS	Joseph Conrad novella
HARSH	Hard on the ears
ELENA	"Maria ___" (Dorsey tune)
ABOON	___ to mankind
FLOWN	Taken wing
DAUNT	Intimidate
AIRER	Station with a show
ENNUI	The blahs
SATIN	Participated temporarily, as with a band
STING	Police con
ALBEE	Edward who wrote the play "The Goat, or Who Is Sylvia"
LAITY	Pastor's flock
NAT	Rebellious Turner
REOS	Vintage autos
FOURH	Kind of club that's a hint to this puzzle's theme
FOOD	Victuals
ANTI	Prefix with lock or knock
ARNO	Florence's river
SNO	___-cone
TOWNE	Colonial settlement
TSLOT	Letter-shaped opening for a bolt
BRUIN	Bobby Orr, notably
BIKER	Harley rider
HANDSONTRAINING	Vocational school instruction
DOGLEG	Links bend
ATTUNE	Bring into harmony
OLD	Superannuated
TKO	Ring outcome, briefly
CARGO	___ pants (multipocketed wear)
CHEW	Stick of gum, e.g.
AERO	Prefix with -postale
RAIN	Common Seattle forecast
SUITE	Room plus, in a hotel
SIDE	Slaw or fries, e.g.
UNDO	Reverse, on a PC
ISON	"The shoe ___ the other foot"
ASK	"Don't ___"
ANTE	A couple of chips, maybe
SCAR	Injury reminder
KEGS	Purchases for a shindig
HEALTHINSURANCE	Common employment benefit
HAL	___ 9000, sci-fi computer
ASH	Bit of air pollution
ERIE	Cleveland's lake
ADDON	Enlarge a house
STAG	Men-only
WONG	"The World of Suzie ___"
LEONE	Sierra ___, Africa
HERS	Certain vanity plate for husband-and-wife cars
