SPACECADETS	Brilliant thinkers they're not
SNOBS	Unfriendly sorts
POROUS	Like Swiss cheese
ATAXIA	Muscular disorder
CEL	Picture within a picture?
ELHI	Like some textbook publishers
CLIOS	Spot announcements?
AMSTEL	Big Dutch export
DOTAGES	Late stages, of sorts
ETO	W.W. II inits.
TERM	Course
SLYER	More sharp
ASH	Some fallout
ARMENIAN	Georgian's neighbor
STARDATE	It's not measured in traditional years
HESSOSHY	1980 Pointer Sisters hit
NOTELLMOTEL	Hookup spot
RTE	Part of R.R.: Abbr.
ORALHISTORY	Some tape-recorded interviews
MAS	Family V.I.P.'s
BOX	Deliver crosses, e.g.
IOTA	It's next to nothing
METERS	They line some streets
TOMBRADY	Youngest QB to win a Super Bowl, at age 24
SUIT	Barron's reader, slangily
TURANDOT	Ping and Pong are characters in it
SEGA	Creator of Genesis
AMAT	Third of a Latin sextet
RONDO	Concerto component
SAUD	Mideastern royal family name
DARE	Show spunk
LEMS	NASA craft
SLOW	Not busy
MIAS	Mil. list
RAJ	Period in India's history
JIVE	Talk of swingers
SALTBATH	Hydrotherapy option
TUBB	Singer called the Texas Troubadour
GAGARIN	Vostok 1 passenger
GIRLYMAN	No Mr. Macho
ALOEVERA	Cream additive
GLAREDAT	Mad-dogged
NEWS	What's going on
TOURNEY	Place for seeds
ILLNEVER	"Me? Harrumph!"
REFRAIN	It may follow a bridge
WBA	Org. in which decisions are awarded
ROAD	You might tear it up
EWES	Some dairy stock
SPINET	Grand alternative
BDRM	Abbr. in the real estate section
REGION	Several departments, maybe
MOROSE	Far from bright
LEROI	Choisy-___ (Paris suburb)
ITALL	Dash follower?
SFPD	Employer of TV's Nash Bridges, briefly
DEFER	Put on the back burner
YEOH	1997 Bond girl Michelle
HONER	One working on the cutting edge?
YVETTE	"ER" actress Freeman
ESAI	Tony's portrayer on "N.Y.P.D. Blue"
RIEL	100 sen
LUNA	___ moth
GRO	Miracle-___
MED	Kind of student, for short
ASIANFUSION	Versatile restaurant style
IVO	Literature Nobelist Andric
SRI	What many an Indian is called
ARA	Neighbor of Telescopium
LAVIEENROSE	Song with the lyric "When you kiss me heaven sighs"
NAT	Turner of a page in history
LIONTRAINER	Big top worker
