ERECT	Standing
ESS	What makes a pin spin?
RUE	Regret
ESQ	Abbr. after a lawyer's name
CHUTZPAH	Cheekiness
TIER	Auditorium balcony, e.g.
ODES	Features of Sophocles plays
OUTDO	One-up
DRIER	More arid
ESA	That, to Tomás
SAL	"I've got a mule, her name is ___"
TICK	Peeve, with "off"
TWIRL	Pirouette
IINSIST	"No, you go, really"
CROONER	Bing Crosby, e.g.
KENNEDY	Anthony of the Supreme Court
SUSHI	Rolls for dinner
URSA	Major constellation?
WIRE	Something an undercover agent might wear
SEQUENTIAL	In consecutive order
NABS	Busts
INON	Knowing, as a secret
TRADE	Big news on the sports page
ORSON	Bean on the screen
ORDERED	Chose from a menu
RITZ	Cracker brand
RAT	It's smelled when something's fishy
IDO	Response to "Who wants ice cream?!"
TAR	Driveway surface
BORDERLINE	Just barely legit
DEATH	___ by chocolate (calorie-heavy dessert)
ETNA	Explosive Sicilian?
ADAPTS	Gets used (to)
THEATRE	"Masterpiece ___"
ETD	Consideration for when to arrive at the airport: Abbr.
SED	But: Lat.
TORAH	It's read from right to left
INANE	Senseless
IDLER	Less active
NSA	Source of intelligence: Abbr.
TRY	Give it a go
HEADSTART	What a slow person may need
ALOE	Sunburn soother
TAMPABAY	Team that has a tankful of rays in the back of its ballpark
ZIP	Nada
ZAMBONI	It's driven over the ice between periods
IDIAMIN	The "king" in "The Last King of Scotland"
PENDANT	Locket, often
ALLAH	Word written on the Saudi flag
EATUP	"Dig in!"
TOO	Excessively
UNO	Game featuring 108 cards
PDF	Alternative to a print version: Abbr.
ADE	Summer cooler
TOE	Place for a ring
EDMOND	Astronomer Halley
ERIK	Christine's lover in "The Phantom of the Opera"
MINORERROR	Slip-up
OGRES	Shrek and Fiona, in "Shrek"
REESE	Witherspoon of "Legally Blonde"
OVATE	Egg-shaped
POOF	Sound accompanying a cloud of smoke
BADGE	It's flashed by an officer
EVITA	Musical set in Buenos Aires
TACT	Ambassador's asset
OMAR	Epps of "House"
BREAKABLES	Fragile articles ... or a hint to the things named by the circled letters
BLT	Alternative to a Philly cheesesteak
RAH	Cheerleader's cheer
LIP	Cup's edge
ERE	Before, in verse
SOD	Garden shop offering
NINE	Cloud ___
LAST	Endure
CAIRO	Arafat's birthplace
INTS	Stats for a QB
THEE	You, to a Quaker
TYPED	Went "tap tap tap" on a keyboard
