SILAS	"___ Marner"
SACS	Pouches
ITAL	Type of type: Abbr.
LACE	Shoestring
ALTER	Do tailoring on
SLIPUP	Boo-boo / Students
SAT	Plopped (down)
SPAR	Work out in a ring
ASH	Shade of blond
TIARA	Pageant crown
LUSH	Luxurious
LENO	Carson's successor
UNDO	Loosen
STEP	Dance bit
HERS	For the woman
ATALL	To any degree
PSI	The Beatles' "___ Love You"
RENTE	French income
RELAID	Newly placed / Telephoner
CACTI	Prickly plants
AHA	"Gotcha!"
ENDER	Terminator
SLEEPER	Train car / Strips again
EYEOF	___ newt (witch's ingredient)
RELOOPS	Hooks back up / Winder
EDS	Sullivan and Harris
RUY	Chess's ___ Lopez opening
DADA	Early baby word
DELIVER	Bring to the door / Hugely unpopular
ERA	Time in history
EPODE	Lyric poem
RAVEL	"Boléro" composer
ACERB	Sour
PETE	Tennis's Sampras
TILE	Scrabble piece
SINNED	Did a no-no / Comics pest
NEIL	Simon or Diamond
NUDES	Art subjects
ECLAT	Brilliance
DEEDS	Scout's good works
PACT	Treaty
TREE	Genealogy display
OILS	Some paintings
SPIT	Roasting rod
DEUCE	Ace plus one
OVER	Above
FLIPS	What each word of six or more letters in this puzzle does
SENAT	French legislature
IDLE	Kind of talk
DEREK	Bo of "10"
KRAMER	"Seinfeld" guy / Comment
EVIE	60's singer Sands
LEAD	Pencil filler
ELBERT	Writer Hubbard / Grow threefold
TVA	Southern power provider: Abbr.
ETNA	Sicilian peak
ANIMAL	"20 Questions" category / Layer
STS	Blvds.
AVER	Profess
ENACT	Put into effect
ANS	Opposite of a ques.
SNARE	Entangle
GATEMAN	Security guard / ID at a party
GIGI	1958 musical
ANON	"Mr. X"
TANK	Desert Storm vehicle
EWES	She sheep
STINKER	No-goodnik / Patches, as a sweater
SODA	Fizzy drink
KNEE	On bended ___
EGAD	"Holy moly!"
ROSS	Supreme Diana
INAWE	Thunderstruck
ADO	Without further ___
DOW	___ Jones
MANGO	Tropical fruit
GONER	Dead duck
COD	Fish off Nova Scotia
AREAS	Vicinities
INKS	Squid defenses
TWA	US Airways competitor
LEEDS	West Yorkshire city
