ALP	Monte Leone, for one
ANA	"Wheel of Fortune" purchase
LEG	Advantage, with "up"
PHILIPPINES	Where the 40-Across was held
ASST	Secy., e.g.
AMANA	Big appliance maker
SITINS	March alternatives
SAO	Brazil's ___ José Bay
THRILLAINMANILA	40-Across, familiarly
AMELIA	Henry Fielding title heroine
ABBA	Pop group whose first Top 40 album was, appropriately, "Arrival"
MOOGS	Musical equipment popularized in the 1960s
EXPERT	Pro
LIP	The Louisville ___ (40-Across winner's nickname)
INE	Carol ending?
AGR	Cabinet dept.
NEHEMIAH	Hebrew leader who rebuilt the walls of Jerusalem
ETE	Time spent on la Côte d'Azur
BOXING	40-Across activity
AGITATOR	Troublemaker
BOPPER	Big home run hitter, in slang
LENI	Director Riefenstahl
IMAGE	Likeness
MOONEYES	Silvery fish
SOI	"___ heard"
SENATOR	Cicero or Publius
OPALINE	Iridescent
ANGLO	White, in a way
GODZILLA	164-foot-tall movie star
SRTAS	Sp. misses
THEGREATEST	40-Across winner's nickname
ARMHOLE	Tee shirt opening
SOOTHER	Balm
EPPS	"House" actor
SPF	Block letters?
SOLON	Statesman of old Athens
NCR	A.T.M. maker
THRO	"Comin' ___ the Rye"
NAPPY	British diaper
YRS	Decade parts: Abbr.
DANCE	Pony or alligator
EFS	Flunking grades
EMO	Funny Philips
ALIFRAZIERFIGHT	Memorable 10/1/75 event
APE	Big lug
ITD	"___ be my pleasure"
TIN	Tobacco holder
SPINY	Like some anteaters
STROH	Brewer Bernhard
ONER	Humdinger
RETAKE	Second shot
ELMER	Bugger of Bugs
REPORT	Bang or boom
DELE	Take out
RESET	Change, as a watch
TIMID	Meek
LASER	Kind of printer
RANGE	The Rockies, e.g.
AER	Atmosphere: Prefix
TITAN	Giant
TANS	Gets some color
PAST	History
SHE	"___ Walks in Beauty" (Byron poem)
PAJAMA	Bed piece?
PSS	Letter endings: Abbr.
AMP	Speaker's place
JOE	See 67-Across
IRONHEAD	Nickname for racer Dale Earnhardt Sr., so called because of his stubbornness
RAN	Published
ASK	Expect (of)
DEO	"In excelsis ___"
SMOKIN	With 62-Down, 40-Across loser's nickname
LARGESSE	Generosity
SPEEDS	Does 85, say
ANTE	"___ up!" (game cry)
TKO	40-Across ending, for short
