JOKE	Friars Club offering
JAWS	Blockbuster movie of 1975
OSHA	Dept. of Labor division
KIEV	Capital of Ukraine
ENNE	Feminine suffix
BLAST	Great time
BAMBOO	Shoots to eat
LLOYD	"Safety Last" star Harold ___
ALOT	Heaps
SASH	Pane holder
THEE	What you used to be
SCAR	Surgery aftermath
SPHERE	Field of activity
COULD	"You ___ say that"
ANGLE	Special approach
RESIN	Amber material
ASIN	J ___ judge
ALLAH	Abu Dhabi deity
PONE	Southern dish
WHEN	A question of timing
MOOSE	Fraternal fellow
HUGS	Part of xoxox
SAVEDBYTHEBELLI	Successfully defended in court by Melvin?
DRY	Teetotaling
BAKER	Apron wearer
ROD	16 1/2 feet
ARDEN	Big name in cosmetics
ARROYO	Southwestern gully
ALGA	Aquarium growth
ROIL	Muddy up
RAVE	Carry on
ODE	Dedicated lines
SLAKE	Quench
SITAR	"Norwegian Wood" instrument
LOFT	Room at the top
ADO	Flap
LOAD	Mutual fund fee
DIODE	Electron tube
DIME	Stopping place?
TAM	Gretna Green beret
TAXI	Hack
ATAD	Not much
MIME	Performer in whiteface
GIVESTITFORTATI	Donates a small bird on behalf of actor Jacques?
SAUNA	Hot spot
TIL	"Open ___ midnight"
TEC	Private eye
ALE	Cask serving
AIMAT	Draw a bead on
EXAM	Occasion for proctors
RULER	Sovereign
RACERS	Derby entries
DECIDE	What to do at a turning point
DILATE	Swell
ELM	Shady street
SLOAN	"Wake of the Ferry" painter
SYRUP	Sundae topping
LOOSE	One way to hang
OUTED	Exposed
AIL	Have miseries
ALTAR	Nuptial site
YOUCANCALLMEALI	What Cassius Clay said starting in 1964?
NABS	Makes a collar
COLT	Farm newborn
AREA	Side by side?
EARL	___ of Essex
ARIA	Oratorio highlight
LEFT	Sailor's port
ISEE	Conversational filler
ROTE	Learning method
AORTA	It comes from the heart
ARES	Hawkish Olympian
USER	Software buyer
BLEAT	Sound from the fold
RIFE	Abundant
PEDS	Walkers, for short
STARE	Get goggle-eyed
LATE	Like the White Rabbit
