GOFAR	Accomplish lots of things
GET	Acquire
ORE	It's found in veins
FANTASIA	Singer who received a 7-Down (2005)
ATEINTO	Eroded
ROTC	Drillers' org.?
INAPT	Not fitting
INJAIL	Next to Connecticut Avenue, say, on a Monopoly board
NAACPIMAGEAWARD	Annual entertainment honor
ADM	Navy chief: Abbr.
PEI	Bank of China Tower architect
TREE	Logician's drawing
CLV	Year St. Pius I died
CROSSE	Piece of equipment used in a national sport of Canada
LAXITY	Looseness
VEXERS	Annoying types
ERATO	Sister of Clio
NADER	Subject of the 2007 documentary "An Unreasonable Man"
RAE	"Norma ___"
TENET	Belief
JAMIEFOXX	Actor who received a 7-Down (1998, 2002, 2005-06)
FLAKE	Bit of snow
TICTAC	Popular breath mint
TRA	Song syllable
ELSIE	Bovine in old ads
JEAN	___ material (sturdy fabric)
JETS	Spurts from fountains
EARP	O.K. Corral fighter
RIPER	More red, maybe
ECON	Sch. course with graphs
RIOT	Comedy standout
ASTR	Field in which things are looking up?: Abbr.
EAST	Orient
ALICIAKEYS	Singer/songwriter who received a 7-Down (2002, 2004-06, 2008)
ASIS	Unchanged
TRIOS	Some jazz combos
SALA	Hacienda room
MOOSE	One with a long face?
SPA	Hot tub
ASHANTI	Singer who received a 7-Down (2003)
SIRS	Letter start
HEEL	Achilles' weakness
SOY	Tofu source
SPIKELEE	Director who received a 7-Down (2007)
OILY	Like some hair
YALE	Columbia rival
KLIEG	Moviemaking lamp
KLEIN	Funnyman Robert
SEPIA	Pigment used in drawing
EPSILON	Fraternity letter
DELLAREESE	Singer/actress who received a 7-Down (1996-2002)
DIABLO	Spanish devil
EDGEIN	Enter cautiously
LEARNS	Gets to know
STICKS	Boonies
EEL	Sea slitherer
PILL	Difficult sort
IDEE	Extract from a French bean?
SLATE	Party list
SKYE	Terrier type
AGAIN	From the top
NICK	Small cut
WILLIE	"Steamboat ___," first Mickey Mouse cartoon
LANK	Tall and thin
BERNIEMAC	Comedian who received a 7-Down (2003-06)
ELI	Student at 41-Down
MEN	Door sign
ALLOY	Amalgam, e.g.
ONE	Low digit
YDS	Football stat: Abbr.
LIN	One-dimensional: Abbr.
CLERK	Bob Cratchit's occupation
NOEND	To a great extent
ONS	Switch positions
KINDS	"It takes all ___"
KNEES	Benders?
