BRASS	Chutzpah
BEAK	Rail part
RARE	Like a perfect game
AREA	See 8-Down
STY	Big mess
SHOPWORN	Like clichés
STS	Block boundaries: Abbr.
SUDAN	Arab League member
TAOS	Town near the D. H. Lawrence Ranch
SKI	With 3-Down, slopes
PLEA	Self-defense, e.g.
PLOD	Don't tread lightly
LAKE	It has a large bed
ERAT	"Sicut ___ in principio" (doxology phrase)
AMYS	Sondheim's "Multitudes of ___"
EARTHQUAKEALARM	Detector of some potentially dangerous waves
QUEEN	Powerful piece
ENCARTA	Wikipedia alternative
AGAZE	Like curious onlookers
AREYOUDOINGOKAY	Question of concern after someone has had a bad experience
KEA	Mauna ___
PEAS	Row in a garden
CADETS	Corps groups
OWEN	"Children of Men" star Clive
OLEOLE	Enthusiastic cry of support
YAZ	Bosox nickname
YETIS	Mysterious sightings
AVALON	Toyota sedan
ARENO	"Thy servants ___ spies": Genesis 42:11
VIXEN	Soap staple
ASPIC	Food glaze
HEREGOES	Words before an attempt
HITME	You don't say it when you stand
GARISH	Loud
OCALA	City just NE of Citrus County
ENTER	Word said upon arrival
SEEYA	Words said upon departure
RISER	Tide, at times
KITT	Arizona's ___ Peak National Observatory
KNARS	Lumber features
ACNE	Juvenile development
EXPONENTIALRATE	Rapidly increasing pace
ETONIAN	Ian Fleming or James Bond
LANTERNS	Power outage backups
NEIL	Younger brother of George W. and Jeb
TAMS	Lids around lochs
AILEY	Alvin of the American Dance Theater
ONCEMORE	Over
MUJER	Woman of La Mancha
ANSARA	Michael who played Cochise on TV
AURAE	Distinctive qualities
UNS	Young or wee follower
RUTH	1923 A.L. M.V.P.
ROUGE	Compact material
MTFUJI	Japanese pilgrimage destination
MCAN	Big name in footwear
TITO	He broke with Stalin in 1948
FATS	Domino, e.g.
UHOH	"This doesn't look good"
SORE	Put out
SQYD	Wallpaper meas.
HAI	Far Eastern affirmative
HERB	Kind of garden
ARAL	Asia's ___ Sea
ISLE	Dot in a 10-Down
CIAHEADQUARTERS	Where moles might be found
DEO	"___ vindice" (Confederacy motto)
TEA	Society affair
ATTORNEYGENERAL	Creator of big suits?
NOSH	Have a little something
ODE	A famous one begins "How sleep the brave ..."
SABLE	Very dark
