SPEEDDATING	Modern, efficient matchmaking process
SLEW	Raft
PALE	Like 24-Across
ETES	Are, in Alençon
EEC	Port. joined it in 1986
DATSUNS	Old Japanese cars
DRRUTH	"The Art of Arousal" writer
ARIES	Northern constellation
TICS	Little jerks
IVE	"___ no idea"
NAYSAYER	Skeptical sort
GLEASON	Player of Joe the Bartender
ORT	Alimentary particle?
ONTHEALERT	Open-eyed
REBELREBEL	1974 David Bowie song
THATSAMORE	1953 hit that mentions "old Napoli"
LATEARRIVAL	One who got held up, maybe
NEH	Old Testament book: Abbr.
ELECTRICEYE	Sensor
TBA	TV schedule letters
WES	Director Craven
SUES	Pleads
SACHET	Drawer freshener
CTN	Shipping unit: Abbr.
CUTS	Record collection?
CURS	Mean types
PASTELS	Soothing art
PANES	You can see right through them
UNHUNH	"Nope"
USAIRFORCE	Falcon's home
NESSELRODE	Dessert with candied fruit, nuts and liqueur
HAIRPIECES	Top secrets?
SAYONARA	Something you might part with overseas
SITED	Placed
SEARS	Kmart acquisition
LINEN	Popular wedding gift
LOREN	Oscar winner for "Two Women"
LEM	N.F.L. Hall-of-Famer ___ Barney
ASIS	Sans warranty
VOTER	Slate evaluator
VARIETAL	Like some wines
NEBO	Biblical peak
NANS	Bert Bobbsey's twin and others
ISR	Acre's setting: Abbr.
MARES	Stable parents
MISSING	Lost
RARER	Like tigers vis-à-vis lions
REMODEL	Modernize
REPAIRED	Good as new
ATL	N.L. scoreboard abbr.
GENTLE	Washer setting
GAYLIB	1960's-70's antidiscrimination movement
FLITSIN	Arrives like a social butterfly?
GAMS	Pinup's pride
GAULS	Residents of ancient Alesia
ORELSE	Unspecified, but invariably unpleasant, alternative
DAYO	Harry Belafonte cry
DOAS	___ told
SAD	Regrettable
STOW	Throw below
ABLE	Au fait
DEER	Rural road sign image
ROC	Fabled elephant abductor
ITCOULDNTBE	"Impossible!"
CTA	Windy City rail inits.
NCO	PX shopper
CDE	The third to the fifth?
NATALIECOLE	"Miss You Like Crazy" singer, 1989
EES	Some tech. inst. grads
GLASSBLOWER	Worker around a furnace
