MIXNMATCH	Like a versatile wardrobe
MISDID	Bungled
INTENT	Fixed
XFILES	Bizarre cases
NICER	Not as cold
MRKOTTER	Teach on TV?
AMEN	Service sign-off
TAM	Plus fours go-with
CRUSADE	Cause
HYPER	Bouncing off the walls
UPFOR	Excited about
USMINT	Noted Phila. facility
PEON	Menial
FINGERER	Rat
ONEONONE	Intimate chat
REYNOLDS	Wrap giant
INFIRMARY	Ill-advised place?
SEINE	View from the Latin Quarter
STICKEMUP	Masked man's cry
MONEY	It may be supplied by a draft
DELEON	Part of a Spanish explorer's name
SEWINGON	Attaching, in a way
WISEMAN	Nestor
INERT	Very slow-moving
MARIN	Its seat is San Rafael
MELEE	Rumble
ENO	North Carolina's ___ River State Park
DTS	Problem while getting clean
TOED	Drove obliquely
OPENERA	It began in 1968, for tennis
STEROL	___ ester
EVIL	Dark side
DEPLETE	Empty
DENT	Bit of headway
TUBAS	They have big bells
VEND	Deal in
REFEREE	One who might count you out
RAMALLAH	West Bank city
EVACUATE	Clear out
FORTKNOX	Gold holder
UMPIRES	Cousins of a 33-Across
PLASTICS	Packaging suppliers' industry
AVON	Foundation producer
NETBALL	It's tricky to return
TRUMPET	Ballyhoo
MARTHE	Saint of housewives, in France
HAWSES	Parts of ship bows
RANA	___ fever (was sick)
SOI	"___ lied!"
SANDIA	New Mexico's ___ National Labs
ONETON	Freight unit
ISDONE	Needs no more work
ACT	Be in a cast
ARGUS	Protector of Io
GRASS	Blades that are cut by blades
SPANS	Runs across
POETS	___ Corner, part of Westminster Abbey
LUKEWARM	Halfhearted
EINE	Start of a Mozart title
STONED	On something
SLAY	Fell
LANIS	Legal scholar Guinier and others
APPLIEDTO	Sought acceptance from
PEA	Source of a royal pain?
ATONE	Square things
SEEACTION	Participate in military combat
HEXES	Bad spelling?
STAYSSANE	Doesn't do anything crazy
