OTTO	France's ___ von Bismarck
ONESEC	"I'll be with you shortly ..."
TERESA	Mother of Calcutta
TOREST	One way to lay things
ONSPEC	Uncommissioned
SPRANG	Jumped
SHEL	Silverstein who wrote and illustrated "The Giving Tree"
PONE	Corn dish
RAFAEL	San ___, Calif.
AGASSI	Golf great Andre
NINEAM	Standard office-closing time
GETSUP	Arises
CAD	Rogue
CIGARETTESMOKER	One who exhibits pack mentality?
ARTUROTOSCANINI	Who quipped "God tells me how the music should sound, but you stand in the way"
DRESSFORSUCCESS	Job seeker's fashion advice
NEON	Chemical element with the symbol Fe
HOAGIE	Sub
IRR	Discounted item: Abbr.
ERRS	Gets it wrong
ENFANT	Terrible one?
GTE	Former pharmaceutical giant
SEEP	Flow slowly
LEASES	Flat things?
AUS	Out of: Ger.
ESSE	Sum derives from it
ESAU	Father of Jacob
RRS	Monopoly quartet: Abbr.
CATCHAGLIMPSEOF	Spot
HIGHTAILIT	Bolt
ACUTEANGLE	It's more than 90 degrees
GUESSAGAIN	"Nope, still not right"
SECRETCODE	Writing that's hard to read
ICU	Preemie setting: Abbr.
ETTO	Suffix with palm
LEAGUE	Collection of teams
LOG	Mill input
EUR	Part of E.E.C.: Abbr.
AGA	Turkish pooh-bah
ERECTOR	Crane, e.g.
ERI	Verdi's "___ tu"
REL	Th.D. subj.
EPI	Prefix with center
OUGHTS	Possible name for the first decade of the century
REPRESS	Hold back
GRATES	Hardly soothes
ILIESCU	Former Romanian leader Ion ___
AAA	One step from the majors
TMAC	Nickname on the Houston Rockets starting in 2004
SEEINGEYE	Kind of dog
STR	Narrow passage: Abbr.
EOE	Job ad abbr.
ELS	Tennis champ Ernie
ETE	Time to lie in le soleil?
YEN	Currency of China
EST	Summer hrs. in N.Y.C.
CONC	Solution strength: Abbr.
TOLLGATES	Road access regulators
OKIE	Sooner
RESILIENT	Always bouncing back
DENS	Places for La-Z-Boys
TEN	Number of clues in this puzzle that contain factual inaccuracies
ERIS	Dwarf planet larger than Pluto
