IMP	Rule-breaker
IMPACT	It's striking
MAILING	Batch of solicitations, maybe
PIPETTE	Lab tube
FILM	Certain residue
FIDES	Bona ___
IDOL	Darling
LEW	Basketball's ___ Alcindor
MANHOLES	They may be uncovered on a street
IRAQ	Sumer, nowadays
IVAN	Tolstoy's ___ Ilyich
RENDS	Sunders
ANGLE	Hidden motive
QUIETONTHESET	Direct order?
INVEST	Broker's advice
ISNT	"___ She Lovely"
NOAHS	Whose ark?
VASCO	Explorer ___ Núñez de Balboa
ESCALATE	Heat up
STAREDAT	Eyeballed
TORE	Split
MAINIDEA	Gist
NEVE	Campbell of "Party of Five"
VENUS	Star impersonator?
SEWARD	Lincoln's Secretary of State
SOASTO	Such that one might
PIPEDOWN	Gag order?
ANGIE	1973 Rolling Stones #1 hit
NASCAR	Winston Cup org.
ALEVEL	British exam taken at the end of secondary school
HANDLEWITHCARE	Postal order?
ARAB	Bazaar merchant, maybe
ITEMS	Short pieces
CITES	Mentions
FOR	Word-word link
FEEL	Believe
SETAT	Registering, as a dial
SOLE	Exclusive
TNT	Atlanta-based cable channel
SELA	Ward of "The Fugitive"
SHRED	Tiniest bit
ORES	They're found in veins
SEEPS	Gets (through)
ADA	Writer ___ Louise Huxtable
ANT	Food for a doodlebug
GETTHEEBEHINDMESATAN	Religious order?
TESTGROUP	Audience research focus
TAM	Wool cap
EWING	1970's-80's TV family name
HANGLOOSE	Nonworking order?
IRA	Golden yrs. cache
SNO	___-Cat
ANDROMEDA	Constellation near Cassiopeia
EARLS	Noblemen
WART	Imperfection
SENNETT	"Keystone Kops" producer
KISSME	Pecking order?
KARL	Patriarch of the Flying Wallendas
ILIE	Tennis's Nastase
SINE	Kind of curve
DINAHS	Washington and Shore
DONTTREADONME	New World order?
SEUL	Pas ___ (dance solo)
POD	Detachable container
ALIT	Got off
DUGONG	Indian Ocean swimmer
UTE	Western Amerind
GASP	Recover from a run
EELS	Reef lurkers
LPS	Whirled records?
RELY	Bank
ERIE	Part of the U.S./Canada border
LENZ	Kay of "Physical Evidence"
YOKE	Team need
RING	One year in a trunk
TANGLESUP	Becomes intertwined
ERATO	Daughter of Mnemosyne
OREO	Cookie with a crunch
LEER	Sly look
PEST	Fly, e.g.
PREOP	Before the opening, say
ORELSE	Threatening words
EFREM	Either Zimbalist
MINK	Expensive trim
OAR	Stroked item
AMY	Youngest March sister
PTBOAT	Small military vessel
BUY	Accept
FREEZE	Restraining order?
ROB	Sack
INHUMER	Gravedigger
IKE	1950's G.O.P. name
NEEDLESS	Uncalled-for
HERALDIC	Like some decorations
RULED	Held the top spot
RUST	Red-brown
SCROD	New England catch
STICKSBY	Stays with
CHAO	___ Phraya (Asian river)
KEEPYOUREYEONTHEBALL	Batting order?
REDSEA	Jidda's locale
NSEC	Tiny fraction of a min.
LACONIC	Terse
LATRINE	G.I. John?
EER	Eternally, in poetry
PLEA	Courtroom entry
SIAM	Kingdom on old Asian maps
AAH	Word to a doctor
HOSTEL	Overnight spot
DACE	Stout, freshwater fish
CHARO	Single-named singer
EATIT	Suffer defeat, slangily
EDDIE	Money in the music business?
INFER	Gather
EDINA	Minneapolis suburb
ECO	"Foucault's Pendulum" author
RECTO	Odd-numbered page
RIPEN	Gain succulence
ENOL	Carbon compound
ALLHANDSONDECK	Shipping order?
ASOF	Since
NEST	Twiggy digs
ENDS	Runs out
MINORS	Fake ID holders
MESA	Arizona city
SEDATE	Collected
ENFIN	In conclusion: Fr.
STEPONIT	Rush order?
TAU	Cross shape
OSIRIS	God depicted holding a crook
AMEND	Rephrase
BASELINE	Part of a tennis court
FSCOTT	___ Fitzgerald
ERAS	Periods
YUAN	Chinese money
CEL	Warner Bros. collectible
