GAPING	___ hole
GOODGAME	"You played well"
ANTIETAM	Maryland's historic ___ Creek
PETSTORE	Litter pickup place?
IPASS	South's declaration, perhaps
NEW	Mint
GRADUATED	Like rulers
CLARABOW	Early film star who wore lipstick in the shape of a heart
CNTOWER	Toronto landmark
LOADED	See 23-Across
ASKED	Solicited
REES	Actor Roger
ADS	Things that pop up annoyingly
BITEON	Crunch
OVERDO	Go too far
WEARER	One in an outfit
ONEPER	Severe sales restriction, informally
NOSEDIVE	Plunge
OTTAWA	City that's home to Parliament Hill
TAKESTEA	Has a service break?
DISS	Reqmt. for giving someone the third degree?
DIODES	Some compact light sources
INKED	Approved, as a contract
ERR	Try to fit a square peg in a round hole, e.g.
GETS	With 8-Down, takes a lot of shots, say
UNWED	Non-union?
BODE	Suggest for the future
BABYM	Subject of a 1980s surrogacy case
ATO	___ B (first step)
BAKED	Sweltered
BEGET	Produce
MANOR	___ Farm, setting for a George Orwell story
MEANT	Not accidental
MARKETER	Member of a campaign staff
KRONE	Coin with a hole in it
FEB	National Wear Red Day mo.
FLIESSOLO	Goes it alone
EMERGED	Came out of a hole, say
PLAYSON	Continues, as a band
PAVER	Worker with street smarts?
SEAHORSE	Fish whose male carries the eggs
ONBUTTON	Starting point?
NUCLEONS	Bundles of bound quarks
OED	Its first two vols. covered 43-Across
MAINMENU	Top-level commands, collectively
MINUEND	Something from which something else is taken away
FAINT	Hard to discern
FORONE	As an example
ANAKIN	"Star Wars" name
IMPEND	Brew
RIVET	Pin in a hole
ROCKON	"Way to be, man!"
ABC	See 37-Across
ONME	"Dinner's ___"
SONES	Measures of volume
SNORE	[Bo-o-o-oring!]
SHUL	House of prayer
SCOWS	Junk vehicles
RAP	Spirited response?
INCURS	Runs up
IDIO	Peculiar: Prefix
COTE	Farm shelter
OKEYDOKE	"Uh-huh"
YET	In addition
OPORTO	Iberian city that lends its name to a variety of wine
PAL	Bud
NINEIRON	It's not useful in a long shot situation
LAWSON	Food writer Nigella
ENDTOEND	Extremely touching?
OLSENS	Noted TV twins
