ACCOLADES	Critics' bestowals
ASHE	North Carolina county
COATS	They may be checked ... in two senses
CAMEO	Literary sketch
OPOSSUM	Pogo, e.g.
LOM	Actor Herbert
APES	Extras in the opening of "2001: A Space Odyssey"
DELI	Corner store
ERECT	Set up
SAT	Was immobile
PATTI	Rock poet Smith
PATH	Route
ACHIEVERS	Dropouts they're not
THEOMEN	Peck film of 1976
TERSEST	Least verbose
ISM	Suffix with Darwin
LAMBS	Yeanlings
LAMOUR	Repeated Hope/Crosby co-star
ATEASE	Lolling
MATS	Gym equipment
BRET	Maverick of "Maverick"
SIRS	Some British parliamentarians
SOAPOPERA	Never-ending story
ACHES	Causes for complaint
ATARI	Pole Position company
HAMOMELET	Brunch offering
THERMOMETER	Place for graduation?
ORGANA	Princess Leia ___ of "Star Wars"
ETES	Holiday times abroad
SIC	Latin for 61-Down
CHIOS	Island where Homer was reputedly born
CAROUSED	Lived it up
ROASTS	Some tributes
SOSA	1998 N.L. M.V.P.
AMT	2 oz., e.g.
TIA	Carrere of "Wayne's World"
IBM	Fortran language developer
EME	Suffix with morph
GUS	Gloomy one
UMPS	Diamond experts
PHANTOM	Long-running Broadway musical, familiarly
SILO	Domed building
BRAVES	Warpath goers
AMAIN	At full speed
ARENAS	Hippodromes
NABOB	High-muckety-muck
AGATE	See 56-Down
SANER	More judicious
FROMTHISMOMENTON	1950 Cole Porter song
FLAP	Hoo-ha
RILL	Moon valley
OLGA	One of Chekhov's Three Sisters
SINATRA	Oscar winner of 1953
OTRO	Another, in Andalusia
AGA	Eastern honorific
LIL	Pop music's ___ Kim
ALI	Son-in-law of Muhammad
UAR	Old Eg./Syr. union
TALIBAN	Ruling force in Afghanistan
LEEVES	Actress Jane of "Frasier"
IMMIES	Playing marbles resembling a 43-Down
ALGERNON	Bachelor in Wilde's "The Importance of Being Earnest"
ENAMOR	Charm
REDONE	Fixed up
SISTER	Devoted feminist
THUS	See 27-Across
EMBARGO	War move
EMOTE	Be actorish
PLANET	Revolver?
AMEN	Word of agreement
MAXI	Long garment
HMOMEMBER	One who's covered
MONACAN	Rainier, e.g.
ADO	Ruckus
TAD	Bit
PUB	Londoner's local
PINELLAS	___ Park, Fla.
OVI	Prefix with duct
GUMMOMARX	One of a famed film family
GAELS	Iona College athletes
ULNAE	Arm supports
MOTOR	___-mouth
ATTU	North Pacific island
PISA	University city since 1343
PAYEE	Person on a check list?
NEEDED	Not optional
DURO	Spanish peso
ERIN	"Come Back to ___" (old song)
DEBI	Skater Thomas
ALOON	Crazy as ___
TAIPAN	1966 Clavell best seller
PRIVATEER	Sea raider
REASSURE	Comfort
EMMA	Austen novel
ENTREAT	Importune
AGASSI	Two-time U.S. Open champ
RYE	Bar order
GMC	Yukon maker, for short
RIB	Kid
LAO	Indochinese language
GUGLIELMOMARCONI	Wireless pioneer
GRAVELY	How bad news may be given
LANOTTE	Middle of a Michelangelo Antonioni film trilogy
MSS	Work for eds.
RNA	Genetic letters
COLLARS	Some are clerical
SERBIA	Side in a 1999 war
BOGOTA	The Athens of South America
ICEMAN	Summer cooler?
RAVELS	Comes apart
ANNO	In the year: Lat.
OCS	Mil. training site
ANA	Santa ___
ASP	Part of a pharaoh's headdress
PLUTO	Cartoon canine
ALPS	Mann's "The Magic Mountain" locale
PITAS	They may be stuffed
SACRE	___ bleu
STAGES	Puts on
SCAR	Uglify
TAKE	Receipts
AMIR	Commander, in Arabic
VOTES	Primary subject?
EARS	Listeners
LAT	Global positioning datum: Abbr.
AMIS	Porthos and Athos, e.g.
TONS	Plenty
LIAR	Makeup person?
RHYS	"Wide Sargasso Sea" author
CAMOMILETEA	Stomach soother: Var.
LAM	Hightail
SUMOMATCH	Japanese entertainment
SIP	Swill's opposite
MEE	English author and editor Arthur ___
AKITA	Japanese canine
ALTER	Transform
ITINERARY	Traveler's take-along
RERAN	Published again
MYERS	Austin Powers portrayer
POSSESSES	What an evil spirit does
