GAM	School of whales
GETSL	Is stranded
ALEAF	Shake like ___
MIAMI	With 22-Across, a Florida county
TSOIL	Plowed layer
TBILLING	Star's demand
SECEDE	Break away
OLE	Corrida cry
III	Jr.'s namesake
LEND	Extend credit
TSPIN	English of a sort
TSIDER	Deck shoe
SLOEGIN	Potable in a fizz
POW	Sound of impact
IMA	"___ ramblin' wreck ..."
NON	Oui's opposite
ELI	Ivy Leaguer
BELIE	Controvert
SLOMO	Replay speed
TEA	Kind of garden
ICEIN	Cause winter isolation
IOWAN	Council Bluffs resident
SAMPLE	Have a taste of
PESO	Change in Cuba
DADE	See 3-Down
ALTOS	Chorus section
LFIELDER	Ted Williams was one
EVERI	"If ___ Would Leave You"
RESLATE	Move on the schedule
LEGALR	Governmental guarantee
ABODE	Quarters
LETON	Pretend
RSIZE	Set at the proper level, as a work force
SIEVE	It doesn't hold water
TRIBES	Delaware and Missouri
EGGON	Encourage
EYESL	"Look west," to a drill sergeant
GOTTA	Spike Lee's "She's ___ Have It"
GNARS	Growls
ESTO	This, in Toledo
TIMEX	Bulova rival
NOTI	Response to the Little Red Hen
YON	Over there
GIRLISH	Pink and lacy, perhaps
ISERE	Grenoble's river
HITROCKB	Drop as low as possible
DOZ	Egg carton abbr.
ETAL	Bibliographic abbr.
LACUNAL	Having small gaps
SIAM	Country that changed its name in 1939
IRENE	Peace goddess
RYES	Dark loaves
STRAFE	Attack from above
FALSEB	Feature of a smuggler's suitcase
TESTY	Irascible
STRING	Kind of bikini
LASCAR	Didn't heal well
EXTREMER	Reactionaries, politically
MILER	Bannister, e.g.
ETAPE	Military camping spot
RAWAY	Pronto
ULEE	1997 Fonda role
EMIL	Expressionist Nolde
ROSITA	Spanish-speaking Muppet on "Sesame Street"
SAENS	Composer Saint-___
SUB	Grinder
ALE	Pilsener kin
ENL	Blow-up: Abbr.
MUSIC	"The speech of angels": Carlyle
UNO	Game with Skip and Reverse cards
SIN	Confession topic
LAW	"It's the ___!"
ULNAE	Forelimb bones
ININK	How contracts are signed
EPA	Emissions-regulating org.
BELLB	Like some 70's trousers
LONGB	"Harry Potter" character Neville ___
REY	Marina del ___
