SIMP	Lamebrain
SEEM	Appear to be
ISAO	Golf's ___ Aoki
MSGR	Roman Cath. title
POETIC	Word with justice or license
ANALOG	Kind of TV now converted from digital
AMBROSE	Cynical Bierce
NAE	Scot's denial
ARAL	___ Sea (Amu Darya's outlet)
LIVING	Kind of will
ONEFOOT	What a flamingo might stand on
GARTH	Country's Brooks
ADZ	Wood-shaping tool
AFICIONADO	Devotee
DROIDS	Sci-fi automatons
ZANIES	Class clowns, e.g.
ESSO	Gas brand in Canada
MARINA	Where to dock a Sea Ray
FRA	Monk's title
EAGERBEAVER	Zealous sort whose schedule may include 27-, 50- and 64-Across
RACEWAY	Monticello or Saratoga
ION	Cyclotron bit
MORTAR	Weapon using high-arcing ammo
LIFT	Morale booster
CII	Early second-century year
ICON	Desktop picture
NTSB	Crash-probing agcy.
NOH	Japanese dramatic form
IDE	Suffix with chlor- or sulf-
PLACESTOGO	See 17-Across
PRO	Old hand
LAS	Refrain syllables
AFTERSHAVE	Item in a man's medicine chest
OTTOI	10th-century Holy Roman emperor
BOSS	Head honcho
BAM	Emeril catchword
RAF	Spitfire-flying grp.
WEST	Rapper Kanye
TMAN	Tax investigator, for short
MISSENT	Loaded onto the wrong truck, say
OSTIA	Port of old Rome
ILE	Spot in the Seine
BTU	A/C fig.
USNA	McCain's alma mater: Abbr.
IMAGE	Spin doctor's concern
GOD	55-Across, e.g.
EGO	I, to Claudius
ELYS	Golf innovator Callaway and bridge maven Culbertson
STOREUP	Save for a rainy day
OSAS	She-bears, south of the border
AGREETO	Go along with
DOG	Barker
SORE	Like bad losers
SEAMAN	One on deck
ONSITE	Like some job training
THINGSTODO	See 17-Across
HONORE	Novelist ___ de Balzac
TSTOPS	Movie camera lens settings
ENS	Printers' measures
LOO	London facility
LAPPS	Northern Scandinavians
ARES	Greek counterpart of Mars
ASH	Blond shade
ARNO	River of Florence
OPIE	Mayberry boy
ENTITY	Material thing
ISEE	"Gotcha"
TEAM	Orioles or Cardinals
YETI	Bigfoot's Asian cousin
MIA	"Mamma ___!"
PEOPLETOSEE	See 17-Across
LSD	Tripper's turn-on
ATV	Off-road transport, for short
PURIST	One unlikely to compromise
PEAT	Fuel from bogs
NEE	Word in alumnae bios
SPEEDO	Big name in small swimsuits
SEMI	Many-axled vehicle
