OPAL	Stone of some Libras
OTHERS	Them
POOLED	Held jointly
ANGELS	Troublemakers, never
LEDGE	Potted plant place
STAS	AM selections: Abbr.
SPYS	1974 Sutherland/Gould spoof
TESTPILOT	Airborne faultfinder
ADO	Botheration
SIFTSOUT	Separates
SCRAP	Tussle
SPUR	Prodder
COMPACTED	Tight
REM	"Radio Free Europe" rock band
AMERICAN	Red-white-and-blue
PERIDOT	Green gem
HUMID	Raising a sweat, perhaps
HOMEY	Comfortably inviting
URI	New England state sch.
MATADOR	One who accepts charges
ITEMIZE	Use Schedule A
DERIDED	Put down
TONE	Pitch
PEDI	Foot: Prefix
POEME	Verse from Villon
ORATE	Do some campaign work
HOGDAYSOFSUMMER	When to slop in the mud on the farm?
AITCH	Common aspiration
SEANS	Singer Lennon and others
MITER	Kind of joint
ELEGIST	Gray, for one
TERP	Maryland athlete, for short
RICE	Almost purée
CLARENCE	Essayist Day
AMI	"___ dreaming?"
RELET	Like some apartments
PISA	Council of ___ (1409 assembly)
IRON	Smooth
ACIDLY	With bite
COHESION	Stick-to-it-iveness?
DID	Took action
SDS	60's coll. radicals
CHIRON	Wisest of the centaurs, in Greek myth
HEME	Blood pigment
COCOA	Brown shade
DOZE	Not be alert
DAIS	Seat of honor location
THELOUSETHATROARED	Tale of a tiny bellower?
THUMB	Handy digit
EKED	Scratched (out)
OLE	Big cheer
GUSH	Talk effusively
GEARED	Ready, with "up"
UPLATE	Burning the midnight oil, so to speak
SAUTES	Makes veal, maybe
MONT	Alpine sight
KEEN	Hot to trot
ELI	Priest of I Samuel
EPAULET	Shoulder piece
LSU	Shaq's alma mater
FEDS	20's beer barrel busters
FER	"That's ___ sure!"
ONESTOP	Like some shopping
OAK	Source of 85-Down
TEUTON	Germanic tribesman
ORIENT	Familiarize
PETREL	Tube-nosed seabird
ALUMS	Homecoming visitors
APED	Acted like
ALI	7th-century Arab caliph
PANBROIL	Brown, in a way
IMAC	Apple product
MNO	Phone button trio
ERE	Shortly before?
RATBURGLAR	Traitorous intruder?
RESERVED	Set aside
GRE	Test for a college sr.
DONKEYSUIT	What an ass declares in cards?
DOT	Part of an E-mail address
YTD	So far, on a pay stub: Abbr.
SARIS	Hindu habits
ETE	Berlioz's "Les Nuits d'___"
ERIN	Beloved subject of Thomas Campbell
NONO	Jaywalking, e.g.
NAME	Handle
TATER	Home run, slangily
DESPISE	Not at all like
POHL	Sci-fi writer Frederic
IRE	It makes one hot
BEAT	Newswriter's specialty
EASTEREGG	Item that's often hidden
PADRONE	Exploitative employer
PARTHENON	Athens attraction
ARIA	Voice stretcher
ORE	Rough stuff
PRAM	Tot toter
POSTGAME	Like many a sports report
SCAR	Stitch souvenir
STANDARD	Comparison basis
CORK	Stopper
INTL	Abbr. starting some corp. names
MOTHERMOOSESTORIES	Bedtime reading in the forest?
MOHAWKS	Center strip cuts?
OVEREAT	Gorge
TANTARA	Trumpet blast
MINIMAL	Barely enough
STAIR	One step
ERRED	Flubbed
OVAL	Place for a run
VISIT	Call upon
TARTAR	Canine cover
TUE	Calendar abbr.
TIEDON	Affixed
UNSEAT	Boot
ESTATE	A matter of will?
HEN	Roaster, maybe
GENTLE	Nonabrasive
GISTS	Nubs
ANKH	Cross with a loop
REINS	They exist from hand to mouth
ERICA	Author Jong
ART	It's often left hanging
IDIG	"Got it"
RAID	Warrant follower
ABOY	"When I was ___..."
EVEREST	High point
VETS	Seasoned hands
WEANS	Takes off life support?
NAY	Word from a con
MAREBRAINEDIDEA	"Time to have a foal"?
RIG	Fix
III	A crowd, for Caesar?
KARAT	Gold standard
AMIGO	Pal
RIOT	Profusion
COAT	Prince Albert, e.g.
STAYS	Doesn't fold
LEGGY	Like cancan dancers
DINS	Noise pollution
ANTE	Play opener
