SCALP	Itch site
STAMEN	Flower part
CALIPER	Item with adjustable legs
ALLCASH	Not involving check or credit
LEAH	Wife of Jacob
PSHAW	"Ridiculous!"
AMIS	Athos, Porthos and Aramis
APOLLO	God who killed the dragon Python at Delphi
MASKEDFILMHEROS	27- and 41-Down, and others
ISLE	Molokai, for one
STOAS	Greek porticos
ADAM	With 69-Across, caped crusader player of 1966
ASLOPE	Slanting
DARNERS	Hole fixers
AGO	Give it ___
MON	Fall football night: Abbr.
TALES	Spinners' output
PAST	Like water under the bridge
SAGO	Palm starch
ALLAH	Koran focus
OSLO	Sight from a fjord
LRON	___ Hubbard
MICHAELKEATON	Caped crusader player of 1989
EASTLA	It's between Long Bch. and Pasadena
TUFTED	Sporting plumage
EPA	Fed. watchdog
WALE	Fabric rib
SUPERB	Excellent
RIO	"Flying Down to ___"
BAT	With 41-Down, this puzzle's theme
NESS	Bitter end?
SEV	A few: Abbr.
SODA	Fizz producer
AIL	Feel low
FERIA	Spanish carnival
RHETT	Butler of fiction
TATTOO	Needle work?
FIAT	Order
AMORAL	Not worried about right and wrong
SOT	Elbow-bender
VALKILMER	Caped crusader player of 1995
KIA	Sportage maker
REM	"Shiny Happy People" band, 1991
MIR	Space station name
MAN	See 27-Down
IDI	Despot Amin
RANGERS	Park sightings
TAIL	Kite part
ODELL	Nancy of "Access Hollywood"
LEONINE	Strong and proud
LORELEI	Rhine temptress
ADAPT	Show flexibility
PEERAT	Intently view
AMER	Part of A.C.L.U.: Abbr.
EOCENE	Epoch of the Tertiary period
MEOW	Catty call
WRYEST	Most bitterly amusing
NINEOF	1:51, 2:51 or 3:51, e.g.
FRYER	Doughnut shop fixture
HOAX	Put-on
XOUTS	Deletions
ORR	Bruin who wore a 4
GEORGECLOONEY	Caped crusader player of 1997
GOTO	Head for
OTOE	Native Nebraskan
JEER	Rude response
JAW	Talking point?
ETE	Three months abroad
YORE	Old times
UTILE	Of service
ATRA	Razor name
ETON	School for Prince William
TONES	Pitches
WEST	See 10-Across
ROSE	Sunset shade
SEEIT	"Now you ___, now ..."
