CUED	Fed a line
CASH	Like some payouts
UNCAS	Tragic Cooper character
ETHYL	Refinery product
DIM	Obtuse
HISS	Warning sound
HEANEY	1995 Literature Nobelist from Ireland
INRE	Subject preceder
SOC	S.P.C.A. part: Abbr.
SMA	Wee, to Burns
ATARI	Space Invaders game company
APPLES	Washington is known for them
TRAIL	Lag
AMI	"___ Blue"
RAG	Toe-tapping tune
INN	Comfort ___
ANTIVENOM	Snake farm supply
VENTURI	1964 U.S. Open winner Ken
PRMAN	Image maker
SCHMEARCAMPAIGN	Series of cream cheese commercials?
MAGGOT	Housefly larva
HAY	Source of some allergic reactions
NNE	Hurricane dir.
ALI	He KO'd Foreman
SLATE	Offering to voters
ABETS	Aids
ANGELPIE	Fruit-filled meringue dessert
ATFIRST	Initially
NANNY	Tot watcher
PROMO	Trailer
INFUN	Playfully
EAUDE	___ Cologne
BUY	Believe, informally
TAGS	Makes it?
RNA	Cytoplasm substance
OSTER	Blender brand
OSTIA	Old Roman port
SCRAG	Rawboned animal
THINE	It was once yours
OFNO	___ importance
OKAPI	Animal of the Congo Valley
TOFU	Health store offering
TESLA	Electrical pioneer
SCHTICKINTHEMUD	Filthy comedy act?
CLAMUP	Stop talking
HATTERS	Milliners
TRIS	Speaker of the Tribe
LARY	Football Hall-of-Famer Yale ___
ASONE	Together
IAN	"Jurassic Park" mathematician ___ Malcolm
CAPS	Mushroom parts
CICELY	Actress Tyson
ATL	Canary Isl. locale
ASLANT	Obliquely
AGELIMIT	Bars have one
LILAC	Sachet scent
STALE	Tired
LAUER	Popular A.M. host
ERNIE	Bushmiller who drew 63-Across
ICU	Oxygen site: Abbr.
ALE	Draft call?
ADIN	Point before "game"
ARE	Remain
EDNA	___ St. Vincent Millay
SCHLEPPEDAROUND	Lugged?
SUN	Tan
CSA	Civil War inits.
HUN	Pillager
PFC	Rating at Ft. Bragg
EEE	Wide spec.
OTB	Where to play favorites?: Abbr.
USUAL	Garden-variety
FEINSTEIN	Mayor-turned-Senator, 1992
NANCY	Chipmunk-cheeked comics girl
CENT	Tiny payment
BREA	La ___ Tar Pits
