ABIG	"...and carry ___ stick"
AMIGA	Old computer
BASIL	Actor Rathbone
ICING	Cake topper
GETGO	Very beginning
ASTO	Concerning
ADDRESS	State of the Union, e.g.
SOAR	Fly high
TOTO	Dog in Oz
OMEGA	Alpha's opposite
SPICE	With 69-Across, locales for this puzzle's theme
STEROIDS	Some bodybuilders' body builders
PALS	Cronies
IRA	Lyricist Gershwin
COT	Barracks bed
ETE	Summer on the Seine
MACE	Mugger repellent
DOOM	Ensure the failure of
TAROT	Divination deck
ISIT	"Who ___?" (knock response)
DATE	History test answer
ELATE	Make giddy with delight
GINGERROGERS	"Kitty Foyle" Oscar winner
ERA	Piece of history
EDNA	1999-2000 "Dame" on Broadway
ALGORE	Vice president with a "Jr." in his name
ADO	Brouhaha
SUR	Over: Fr.
SPIED	Looked in (on)
ULCER	Stress symptom, they say
REELS	Projection booth items
ASTI	___ Spumante
TATA	"Later!"
IGAVE	"___ at the office"
NIPPLE	Baby bottle topper
PVT	Cpl.'s inferior
ACC	U.N.C. is in it
ASCOT	Yachtsman's neckwear
COULD	Was capable of
CURDS	Half of Miss Muffet's dish
SAGEADVICE	Word from the wise
EGOS	Capital I's?
SOUTH	Where birds fly in the fall
TRA	___-la-la
HYGIENES	Cleanliness regimens
TAG	What "it" plays
STEEL	Pittsburgh product
CURRYFAVOR	Brown-nose
FEDS	Agents from D.C.
RAPSTAR	Eminem, e.g.
DRS	A.M.A. members
OLDAGE	"Ripe" stage of life
ESAU	Jacob's twin
ULT	Nth deg.
TDS	6-pointers
IDO	Altar avowal
OASIS	Caravan's spot
PLATES	Dishes
ARRAS	Rich tapestry
TEASE	Flirt with
EERIE	Goosebump-raising
STEAK	The turf in "surf and turf"
SESAMESTREET	TV staple since 1969
SINK	Wash-up spot
MADE	Fabricated
ELEA	Philosopher Zeno of ___
EATIN	Have dinner at home
EAR	Swab target
ALA	In the style of
TIC	Personal quirk
SALT	Seasoned sailor
RARE	57-Down request
ALINE	Draw ___ in the sand
IDEA	Notion
ASIA	About 30% of the earth's land
RACKS	See 9-Across
SEAR	Burn with a branding iron
SEEK	Be "it"
