MACHMETER	Airspeed ratio indicator
MAPS	Route revealers
ATOP	Straddling
CLIO	Madison Avenue award
HENRYI	Son of William the Conqueror
MITTEN	Hand holder?
ESO	Pamplona pronoun
TUFT	Goatee, e.g.
ERNO	Rubik of cube fame
REOS	Essex contemporaries
ABUZZ	Full of activity
AREYOUOK	Question after an accident
BET	Track transaction
UNUM	"One" on a one
ZERO	Bubkes
ZENO	Philosopher for whom a paradox is named
ATLEISURE	One way to repent?
RENEE	Soprano Fleming
POINTOFNORETURN	A commitment must be made here
RAW	Unseasoned
SPORT	Gracious loser
TOSAY	"Sad ___ …"
MOO	Low
YEA	Support for a bill
AGED	Seasoned
WOE	Tsuris, so to speak
ESAI	Morales of movies
BERINGSEA	Pacific arm
BIPOD	Certain rifle stand
ECOLI	Source of some stomachaches
RULER	Schoolbag item
STOAS	Athenian meeting places
EATME	Wonderland message
ALBUM	It contains tracks
USAGE	Lexicon topic
ARNEL	Cellulose fiber brand
GEICO	Big name in insurance
EDSON	Pelé's given name
ICU	Post-O.R. stop, perhaps
ETAL	Catalog abbr.
OARED	Made waves?
POLKADOTBIKINIS	They're spotted on beaches
KIEV	Capital on the Dnieper
ACRIMONY	Bitterness
IRIS	Camera component
OLEIC	Kind of acid used to make soap
AMUR	Russia/China border river
ECO	Prefix with conscious
DIRER	More terrible
SEMICOLON	Cause for pause
CINEMA	Place for a concession
OPERAS	High-culture entertainment
VIA	By the agency of
AIR	Put on
SIP	Take in slowly
EMU	It'll never fly
EVER	It can come before after
MILE	Square ___
UCLA	Pac Ten powerhouse
MILNE	"When We Were Very Young" writer
LIES	Sprawls
NASA	Pathfinder's parent
ENTR	___'acte
NEGRI	Old film vamp Pola
GIBS	Wedgelike metal strips in a machine shop
ROLO	Caramel candy from Hershey
IDES	Midmonth time
VICTORIANPERIOD	Stuffy stretch
TED	"First Blood" director Kotcheff
PIG	Nonsharing type
ELLEN	1990's sitcom
ESTIMABLE	Worthy of respect
READY	Primed
SARGASSOS	Gulfweeds
