FIJI	Land of 300+ islands
FIESTA	Holiday party
IGLOOS	Homes that may have tunnel entrances
JOLLYHAPPYSOUL	Lyric, part 2, after "Was a"
IRSAGENTS	Cheater hunters, maybe
ARCED	Not straight
ALAIN	French chef Ducasse
RITZ	Luxuriousness
COHEIR	One who can't have everything?
ENO	Rocker Brian
DSL	Certain computer connection, briefly
VOCAB	Words: Abbr.
VAN	Sliding door place
OPE	"Set ___ the doors, O soul!": Whitman
COWPEA	Forage plant
ALTA	Sask. neighbor
BOOST	Leg up
HALO	Eclipse feature
HAIRBRUSH	Snarl unsnarler
ANDABUTTONNOSE	Lyric, part 4
LOOMED	Arose
ONSIDE	Kind of kick
IGOR	Borodin's "Prince ___"
LIONS	N.F.L. team for which Barry Sanders played
APOLO	"Dancing With the Stars" winner ___ Ohno
ANON	Shortly
ELLS	Wright wings
ATHOL	Playwright Fugard
NEWTO	Not familiar with
IDOS	Nuptial exchange
SOLARIZE	Shed some light on?
RUNS	Giant successes?
PASTRAMI	Deli offering
TACO	Shell food?
TOYGUN	Artificial heat?
INFLUENCE	Pull
NOTSO	"I beg to differ!"
FLO	"Kiss my grits" lady
LEY	Writer Willy who popularized spaceflight
UTO	___-Aztecan language
EAT	"Have some!"
NRA	Second Amendment advocacy grp.
CISCO	"The ___ Kid"
TABBED	Like some folders
ASHEN	Cadaverous
PROLETARIAT	Class in factories
PLACEBO	Part of many a test
TAKEONE	"Here!"
CRUDE	Oil by the barrel
ANSEL	Photographer Adams
ERSE	Highlands tongue
TOYOTAS	Avalons, e.g.
ANOUT	Have ___ (be innocent, maybe)
NEST	Cardinal's home
APPT	Date with a Dr.
AGEISTS	Favorers of the young
PADTHAI	Dish with stir-fried rice noodles
RAGS	No fancy threads
GODARD	"Passion" director
CAKE	Piece of soap
AMIENS	French treaty city of 1802
STUS	Poker great Ungar and others
USEDCAR	Accord of 1985?
SPARKLE	What icicles do
GAPS	Breaches
SCOOTS	Gets a move on
TSE	Literary inits.
STRONGARM	Bully
BIOMES	Rain forests and grasslands, e.g.
BEDSPREAD	It may be fit for a king
IWO	1945 battle site, for short
HOSP	R.N.'s locale
EDY	Ice cream maker Joseph
REED	Clarinetist's purchase
ROSLYN	Long Island Rail Road station
STREW	Scatter
RST	Alphabet trio
IOTA	Smidgen
ARCANE	Esoteric
NEA	Cultural funding org.
ITSNO	"___ big deal!"
NET	End up with
BAKERSDOZEN	13
KEEL	Fall (over)
ZOOT	"The ___ Cat" (Tom and Jerry short)
RANDR	Dec. holiday plans?
ALS	Pacino and others
SHOESTORE	Pump room?
TYRA	Banks on a runway
OTS	Five-min. periods, maybe
ONEOCLOCK	A wee hour
OVID	Horace contemporary
TAUTLY	Without slack
DERN	"Jurassic Park" actress
ROPES	Bobstays, e.g.
PROS	Advantages
REESE	Kyle ___, "The Terminator" hero
VASSAL	Lord's worker
SIL	Part of R.S.V.P.
YRS	Cen. parts
SPHERIC	Globular
LOG	Yule ___
RET	No longer working: Abbr.
AIN	Bourg's department
AIRTIME	When the show must go on
ERE	Before, in verse
SNAPS	Ginger treats
SST	Grounded flier
SAYA	"Don't ___ word!"
PAREE	Cole Porter's "You Don't Know ___"
RDA	Dietary abbr.
RIDES	Hitches
REUP	Start another tour
SAC	Animal pouch
PSIS	Fraternity letters
PALPATE	Feel one's way around?
SNEERERS	High-hats
IDARENOT	Timid words
HABERDASHER	Provider of an old silk hat, e.g. (as depicted at the top of this puzzle)
BELFRIES	Places for tolls
HOOSIERS	1986 Gene Hackman film
ATVS	Rugged wheels, briefly
TOLERANT	Not narrow
VAGRANTS	Tramps
SLASHES	1/2 and 1/3 parts
ANDTWOEYESMADEOUTOFCOAL	Lyric, part 5
WATERER	Sprinkler
OUT	Heavily sedated
ONA	___ trial basis
FESTIVE	Holidayish
LEA	Rustic setting
AURAL	Ear-relevant
OPINE	State one's views
LGA	J.F.K. alternative
PERETTI	"The Oath" author Frank
ETUDE	"Revolutionary" piece by Chopin
FASCIAS	Horizontal molding pieces
ANGEL	Harpist, of sorts
SCHMO	Nobody
COT	Visitor's sleeping spot, maybe
IBEST	"So ___ be on my way / In the early mornin' rain" (Gordon Lightfoot lyric)
APNEA	Sleep problem
MASHERS	Wolves
HOSEA	Old Testament prophet
ARETE	Mountain ridge
CORNCOBPIPE	Lyric, part 3, after "With a"
OTTO	Dr. Octavius, Spider-Man foe
PDFS	Some E-mail attachments
TORAH	Contents of some scrolls
TENURE	Kind of track
ESE	Legal conclusion?
TIGHTENED	Wound (up)
TISANE	Herbal tea
TEK	Shatner's "___War"
ERODES	Loses ground?
TEEM	Crawl (with)
SERF	Lord's worker
EVENTS	New Year's Eve parties, e.g.
STERE	Wood measure
OSLO	___ Accords
TASS	News agency started in 1925
KEATS	"Endymion" poet
