ESTOPS	Legally impedes
ERSE	Highlands tongue
SAHL	Political comic Mort
THOM	Relative of Geo. and Robt.
ORR	Hart Trophy winner, 1970-72
PATCASH	1987 Wimbledon winner
SHERRI	Steinhauer of the L.P.G.A.
PROM	May school event, often
POEM	Sonnet, e.g.
RODE	Teased mercilessly
ONS	Switch settings
MATADOR	El toro's opponent
ODD	Like 1, 3 or 7
OVER	Completed
DIET	Weight loss plan
DATA	Spreadsheet numbers
RAHRAH	Filled with the old school spirit
OONA	The last Mrs. Chaplin
VIA	By way of
SHORTENEDSTREET	ST
NITA	Silents star Naldi
ROAN	Speckled horse
ELM	Spreading tree
CRIME	Legal offense
AORTA	Main bloodline
PART	Hair division
PISA	Leaning Tower's city
FDA	Pharmaceutical-approving org.
FRAY	Come apart at the seams
PARISIANPRONOUN	TU
PSYCH	Course in which to study Freud
ALOHA	Wahine's welcome
RADAR	Kind of beacon
NASAL	Like Fran Drescher's voice
PJS	What to wear when one goes beddy-bye
OCCUR	Come to pass
UHURA	"Star Trek" lieutenant
NITTY	___-gritty
SLASH	Cut dramatically
AJAR	Not quite closed
CHI	Life force, in Eastern philosophy
YODA	Luke's mentor, in "Star Wars"
GASSY	Bombastic
GLUT	Overabundance
ALL	The whole enchilada
SCUT	Bunny's tail
SOTS	Drunkards
CHA	When repeated, a dance
OLLA	Bulging earthenware vessel
OFFCAST	Thrown away
COURT	Legal setting
CHAPMAN	Johnny Appleseed's real surname
HARMFULLIGHTRAY	UV
MAIM	Seriously wound
IBET	"Yeah, sure!"
GALORE	Aplenty
AFT	Toward the tiller
BAAS	Meadow murmurs
ASPIC	Jellied dish
AGED	Like some cheddar cheese
SEVE	P.G.A. Masters champion Ballesteros
PRAY	Talk in church
WHELP	Young seal
WANE	Go downhill
HUGE	Bigger than the both of us
SRO	Sign of success
SKIM	Fat-free, as milk
RENE	Russo of "In the Line of Fire"
OREL	Hurler Hershiser
GERMANAUTOMAKER	VW
NOR	Neither's partner
AVA	Gardner of "The Barefoot Contessa"
EVA	Little ___, 60's singer
SONG	Disney's "___ of the South"
RAVINE	Runoff point
DEY	Actress Susan
TREE	Tarzan's home
ENAMEL	Canine covering
