CRIB	Home, slangily
CAB	Locomotive part
RAREBIT	Cheesy dish
IRONAGE	First millennium B.C., roughly
BEADS	Worrier's handful
ELPASO	Rio Grande city
ELS	Chi-town rails
LAMA	Holy man in an Ogden Nash verse
PRIX	___ fixe
ADLIB	Forgo the script
SEESAW	Plaything for two
ORS	Places for scrubs, for short
ALA	In the manner of
ASSUMED	Like an alias
LIONESS	Disney's Nala, for one
ARCANA	Deep secrets
AARE	Rhein tributary
LARDER	Food storage area
SIR	Mick Jagger's title
BROADSMILES	Signs of elation --> marathon segments
DOES	Performs
SOC	Liberal arts maj.
ENDO	Prefix with skeleton
AXIS	Italy's side, once
TUNA	Melt ingredient
TOLEDO	El Greco's city
ABASED	Put down
APU	Satyajit Ray's "The ___ Trilogy"
DESI	First name in '50s TV comedy
BADOMEN	Sign of trouble --> commercial writers
DALI	Painter of dreamscapes
PIG	Greedy sort
SECT	Certain offshoot
CARB	Prepare for a marathon, say, with "up"
TABLE	Set aside
WALESA	Lech of Poland's Solidarity
UTES	Beehive State Indians
SHASTA	Cascade Range peak
SAAB	"Born from jets" automaker
BREW	Make stout
LEDS	Watch readouts, for short
HAIRBRAID	Pigtail --> cause for a siren
ASEA	On the ocean blue
AWOL	A.F.B. truant
SPAS	Hydrotherapy sites
SNORTED	Showed contempt for something
PUPTENT	Soldier's shelter
BLEW	Squandered, as a lead
OYEZ	Courtroom attention-getter
YEARONE	The start of time
ESTONIA	Where Skype was invented
ZOO	Wild scene
UNUSED	Like some phone minutes
UPSIDE	Positive aspect
DRIEST	Having the least vermouth
EWOK	Furry sci-fi creature
KENS	Ranges of knowledge
ESO	That, in Tijuana
POPTART	Toaster food --> dazzling designs
TRACY	Comics character with a wrist radio
LEGATO	Smoothly, on a score
GETUP	Fancy duds
SRTA	Spanish counterpart of a mlle.
IRAE	"Dies ___"
ARAL	Asia's ___ Sea
ETRE	To be, to Brigitte
NERO	Rotund Wolfe
ITE	Ore suffix
HEARTHSTONE	Fireplace part --> fall color
HOS	Jolly sounds
HST	Prez who said "If you can't stand the heat, get out of the kitchen"
EST	Ballpark fig.
DEN	TV spot, often
OSCARS	Katharine Hepburn's foursome
UNIS	États-___
EDT	What a farmer in Del. works on?
STYLET	Surgeon's probe
PEAT	Bog product
