THEPROOF	Pudding content?
TWOPM	Soap slot, maybe
HOHOS	Rolled snacks
EVILGENIUS	Professor Moriarty, for one
PETERED	Diminished, with "out"
RISA	Laughter, in La Mancha
ONYX	It might make a cameo appearance
OTOE	Oklahoma people
FOURMANBOBSLEDS	Vehicles used by pushers
LAMEST	Unlikeliest to be bought
LATENS	Gets dark
AZURE	"Main" color in "Rule, Britannia"
MADAMEX	1966 Lana Turner melodrama
EROS	London statue originally called the Shaftesbury Monument
SIRE	Beget
TASS	Red ink source?
WOVEINTO	Smoothly added throughout
AZARIA	Emmy winner for "Tuesdays With Morrie"
OHITSYOU	Costume party comment
TUDORS	Houses named for a house
POLEAXER	Medieval fighter
ERASES	Prepares the board
MSGR	Relig. title
MENEM	Former Argentine president Carlos
ESTATE	It may be planned
EELGRASS	Ribbonlike marine plant
LPGA	Evian Masters org.
GAY	John who wrote "She who has never lov'd, has never liv'd"
RIMMED	Having an edge
ETTA	Place close to Sundance
TESSHARPER	"Tender Mercies" actress
TROT	Bring (out)
ATNO	Chem. datum
HANDPAINT	Decorate, as a pumpkin
HOAR	Cold cover
AURA	A celebrity might be bathed in one
EXERT	Employ
ELOI	Vegetarian people of fiction
OUI	One vote in the European Union
GYMBALL	Inflatable exercise aid
LID	Maximum
SON	Y beneficiary
ARUBA	Where the Germans sank their own freighter, the Antilla, in W.W. II
BATSUIT	Wayne duds
MOTIONSTO	Signals
NAMEOFF	Enumerate
RASA	Latin for "scraped"
JEBEDIAH	___ Springfield (town eponym on "The Simpsons")
JUSTME	"No one else"
THUDS	Heavy footsteps
HORST	German president Köhler
MAGS	O and W, e.g.
GUILE	Trait of Iago
SPATE	Rush
LASSOS	Mustang braking system?
LIMO	Bar locale
AMAD	"Diary of ___ Black Woman" (2005 film)
SHOE	Dealing box, in blackjack
LAWYERUP	Stymie the feds, in a way
ATEE	Have down to ___
WHET	Stimulate
YIPS	Sounds at pounds
IMHURT	"How could you say such a thing?!"
ETHIOPIA	Its capital was once Gondar
MAOISM	System of continuous revolution
DEEPFELT	From the bottom of one's heart
ODETTE	Prince Siegfried's love, in ballet
SETSFREE	Unchains
