CANAL	Lock locale
CONTRA	In opposition to
ASKING	Kind of price
NEIMAN	American painter of sports scenes
ANNEMEARA	Half of an old comedy duo
LEGREST	Deck chair part
BESTS	Licks
BIASTIRE	Radial alternative
ENLARGES	Supplements
SLIMIEST	Most vile
TAKESTEA	Breaks with service?
SWEATING	Producing bullets?
KEROSENE	Some rocket fuel
KABUL	World capital on a river of the same name
ELISA	Woman in a "Paint Your Wagon" song
RAGES	Shows no sign of abating
INLAW	One lost through divorce
ALANKING	He said "Marriage is nature's way of keeping us from fighting with strangers"
ALIKE	Not disparate
BIGTIMER	Pooh-bah
SAMEAS	Matching, with "the"
SETTE	Otto's preceder
USERNAME	Chat room info
TRISTE	Mournful
LASAGNES	Potluck panfuls
IGETIT	Words before a sarcastic "ha ha"
ATPRESENT	Now
PREDATORS	Lions and tigers and bears
PIASTER	Part of a pound
PUSAN	U.N. beachhead during the Korean War
INTREPID	Stout
ADAMSALE	Water
SELASSIE	Part of an Ethiopian emperor's title
TRINIDAD	Columbus discovery of 1498
ERNIEELS	The Big Easy
RESTAGE	Put on again
UNDERRATE	Review unfairly
TOPSPOT	Most coveted position
STALIN	Political leader from Georgia
ODOMETER	Driving range device?
OLINDA	Brazilian beach resort
MOLDER	Crumble
EMEERS	Foreign dignitaries
TITRE	British chemist's solution strength
ENTER	Maze marking
ROODS	Chancel symbols
ARMANI	Name in high fashion
PALOMINO	Trigger, e.g.
NESSIE	Nickname in tabloids
STILETTO	Eyelet creator
PASDE	Deux or trois lead-in
PONDERED	Chewed on
ILIAL	Of a pelvic bone
ORDERERS	Some store officials
DEEDS	Knight's list
TSARS	Peter and Paul, but not Mary
