GLOW	Moon shine
GNAW	Chew (on)
LOLA	Singer Falana
OVER	Partner of "done with"
WAXPAPER	Bakery box liner
STOMP	Trample (on)
SCATHE	Reprove severely
TECH	Kind of support for a computer user
ODES	Lyrical verses
MAV	Dallas hoopster, briefly
PRESENTS	Things kept under wraps?
ASPS	Vile Nile creatures
ANTIS	Those "agin" it
SOUL	Marvin Gaye music
PARE	Cut back
SHAD	Roe source
NOVA	"Super" star
CEDAR	Wood for a storage closet
NOAH	Ark builder
ALEX	"Roots" author ___ Haley
ACEVENTURA	Jim Carrey's pet detective role
NANG	Da ___, Vietnam
WARPATHS	Angry natives go on them
ACHE	Reason for an ice pack
SAILED	Cruised the sea
ACH	German "Oh!"
MENS	Store department with jackets, ties and such
MISTER	"Hey, ___!"
STEPHENKING	"The Dead Zone" novelist
SPORE	Way a fern reproduces
TUDOR	English royal house
ERODE	Eat away at
NEARLY	Almost
KATIE	Couric of "Today"
SLY	Foxy
STALE	Like week-old doughnuts
LEVEE	Embankment
YEARN	Long (for)
PUREE	Thick soup
EAST	Bridge seat
TEE	Peg with a dent on top
ODOR	Smell
WATTS	Light bulb units
WELLDONE	Burned at the steakhouse?
LAVA	Volcanic flow
LOUGRANT	Emmy-winning Ed Asner role
ROD	Fishing pole
ERIE	New York canal
AOLER	Instant Messenger user
AQUA	Blue hue
ERE	Prior to, in poetry
ELLERYQUEEN	Ralph Bellamy's master detective role
EARL	British peer
YAWNER	Apparent sleepyhead
DALY	Tyne of "Judging Amy"
DUKED	Hit with the fists
AUG	Mo. with most of Leo
ABSURD	Harebrained
AJAR	Not quite closed
BALE	Barn dance seat
SCOT	Dundee denizen
INWARDLY	Deep down
IDOL	One getting bags of fan mail
NOSE	Bloodhound's asset
DRAW	Take a card
LIRA	Milano moolah
YAYS	Pep rally cheers
JACKLONDON	"White Fang" author
NOL	Cambodia's Lon ___
ARIA	Song with trills
ALOE	___ vera
NOOSE	End of a hangman's rope
NARY	___ a one
RETD	On a pension: Abbr.
ELLER	"Oklahoma!" aunt
TWAS	First word of Carroll's "Jabberwocky"
