NOMS	French registry listings
NICHE	Cubbyhole
ONOUR	"We're ___ way!"
MAMMA	Bambino watcher
SWEPT	Thoroughly searched
RAJ	Rule opposed by Gandhi
RIVA	Horse-racing Hall-of-Famer ___ Ridge
ALEC	1960's P.M. ___ Douglas-Home
JERKY	Uneven
AHCHOO	"Gesundheit!" evoker
ACTUAL	De facto
HABANERA	Slow Cuban dance
CLII	Mid-2nd-century date
HALLOWEEN	Frightening time
OIL	Standard stuff
OSS	1940's spy org.
INAWHILE	Before long
HOBOS	Wanderers
CALAIS	Dover neighbor
COMEOVER	Drop in
TBILLS	Govt. investments
HUMPBACKQUAIL	Big-shouldered game bird?
QUACKED	Relative of "honked"
ERATO	Inspiration for Yeats
YUAN	Money in China
OBI	It's tied at the back
BASRA	Port on the Shatt-al-Arab
IDEST	Explanation preceder
SAD	Woebegone
ABU	Egypt's ___ Simbel
DOITNOW	"Stop procrastinating!"
ALE	Inn serving
WAD	Pocketful of dough
SASS	Challenge authority
SPADE	Digger
AIRES	Buenos ___
SCRAPHEAP	Dump
SKA	Relative of reggae
BOSC	Greenish-yellow pear
SCI	Poli ___
REESE	Artful Dodger?
EPA	Smog-regulating grp.
PICKQUICKPAPERS	Select speedy news-gatherers?
QUEASILY	How a stomach might react to strange food
PSI	Kind of particle
ARRAU	Pianist Claudio
TIES	Shoelaces
ANAT	Gray area: Abbr.
DEA	21-Across, for one
EON	Period in the earth's history
ORACLE	Answer giver
DIP	Artful Dodger, e.g.
PIQUE	Ballet step on tiptoe without bending the knee
ESP	Subj. for skeptics
AROW	"... maids all in ___"
WEILL	"One Touch of Venus" composer
IOTAS	Smidgens
OUSTS	Bumps
TIARA	Pageant wear
ALGER	Popular early serials writer
SLEEK	Well-groomed
HASAWEAKQUILL	Is not apt to write right?
ANTE	Money to play with
ALIA	Others, to Octavian
KLMN	J train?
SCENIC	Picturesque
STP	Fuel additive brand
CHO	Comedienne Margaret
ILLUSAGE	Mistreatment
THATLL	"___ be the day!"
LIMETREE	Good source for Vitamin C
POPEYE	Yam user?
LAN	Telecommunications acronym
SARK	Cutty ___
