WASPS	Big stingers
WAX	Candle material
AGA	Turkish title
SOX	Red ___
PRETMENTS	Stain looseners on washday
SASS	Lip
WKRP	Johnny Fever's workplace, in 1970s-'80s TV
WOLFED	Gobbled up, with "down"
KLUTE	Movie for which Jane Fonda won an Oscar
RIGHTSIDE	Starboard
POSE	You might strike one
MSRP	Amt. at a car dealership
MOORED	Docked
STPAT	Mid-March honoree
ROADS	Map lines
PELE	New York Cosmos star
AGORA	Ancient marketplace
OLIO	Mixed bag
OTOE	Siouan tribe
XAXES	Some horizontal lines
LUGS	Carries
OPAL	Birthstone of someone born on Halloween
TSOFTHETRADE	Professional secrets
OPED	Like some columns
TREE	Fig or fir
IMAM	Muslim holy man
IQTEST	Hurdle for Mensa membership
MUUMUU	Hawaiian dress
AEROBE	Organism needing oxygen
PEET	Amanda of "The Whole Nine Yards"
RETS	Off-site meetings, maybe
QUEENED	Promoted, as a pawn
NEE	Born
SUED	Took to court
USA	Can. neighbor
TURNED	Went bad
TISE	Formal discourse
TORT	Something said while holding a bag
JIF	"Choosy moms choose ___"
JINXED	Having bad luck, say
INTEND	Mean
FEISTY	Spunky
EMOTE	Ham it up
SODA	___ pop
SATIRICAL	Like The Onion
PINE	Ride the ___ (sit out a baseball game)
PEACETIES	War enders
SUBS	Heros
RARE	Red in the middle
RAW	Uncooked
VENTI	Large, at Starbucks
VON	Designer Diane ___ Furstenberg
TUE	Elec. Day, e.g.
HATT	Hockey feat
HIVE	Honey site
HOAXES	Some urban legends
HEMP	Rope material
KIWI	Aussie's neighbor
KINSEY	"Sexual Behavior in the Human Male" author
TENCENT	Like some old stores
TAKEUP	Begin, as a hobby
DCIV	Early seventh-century year
DEION	Two-sport Sanders
CARDT	Entertainment from a magician
ROAM	Wander
ORTHO	Brand name in lawn care
EDDY	Whirlpool
JEANEKIRKPAT	U.N. ambassador under Reagan
JANE	Chimpanzee researcher Goodall
KAOS	"Get Smart" org.
ANDA	"... ___ bottle of rum"
AIRS	Shows
ACTE	Entr'___
NIECE	Certain flower girl
ELS	Choices for Chicago commuters
CLE	Cavs, on a scoreboard
EAT	Nag (at)
NODE	Focal point
OAHU	Honolulu's home
DELLA	Reese of "Touched by an Angel"
ENTY	Plea
SLOP	Swill
ASSET	Balance sheet listing
