ABAA	Quatrain form
ALT	Not the main rte.
BEOR	"To ___ not to ..."
AINU	Japanese aborigine
AGENCY	Spook's employer, with "the"
AMAT	Latin lover's word?
ADDN	Wing: Abbr.
MOOG	Eponymous instrument maker Robert
ATWO	Retired Audi supermini
TONNE	British weight
MSGS	BlackBerry output: Abbr.
MAMMOTHS	Giant tusk holders
STEPSTOOLS	Items unlikely to be stored on the top shelf
GIST	Essence
STAY	Command to Fido
LEIGH	Co-star of the film whose title is hidden sequentially in 20-, 34-, 41- and 52-Across
HINTAT	Suggest
DOTO	Inflict upon
ATIT	Squabbling
TONEITDOWN	"Not so loud!"
TIN	Anniversary gift for the year after pottery
MESA	Costa ___, Calif.
RUNNINGONEMPTY	About to collapse, say
ERAT	Was at the Colosseum?
CTN	DHL delivery: Abbr.
EROS	Subject for Freud
DARYA	Amu ___, Asian river
DENTE	Al ___
AROOM	Get ___ for the night
REDOCTOBER	Object of a hunt in a 1984 best seller
DJS	Singles players
DRONE	Queen's subject?
JONAS	___ Brothers (pop trio)
SWIMS	Dips
ATTEN	When brunch may be scheduled
EMAIL	What a server may serve
NERVE	Brass
ERE	Poetic preposition
THROWITHOME	Plea from the plate
HIE	Get shaking
ICE	Hotel freebie
NODS	Some yeses
STEMCELL	Subject of modern research
IONIC	Like some columns
SOAR	Take off
TOOTHENAMEL	Canine coat
HEAT	Coppers
LADING	Bill of ___ (shipping document)
LIV	Apt name for a fiftyish Roman woman?
EMCEE	Show host
ESS	It makes pets pests
AISLE	Usher's domain
IMAMAN	1965 Yardbirds hit
TMAN	Eliot Ness, notably, for short
NAGAT	Pester
ADM	Bull Halsey in W.W. II, e.g.: Abbr.
ADE	It's made in a squeeze
CHOCTAWINDIANS	Some W.W. I code talkers
CLOG	Backup cause
HOPI	Literally, "peaceful" person
WORE	Eroded
ILIA	Hip bones
NDAK	Locale of Sitting Bull Coll.
NEBO	Mountain where Moses died, in the Bible
SALT	Curer
LOBE	Leaf feature
GOLDENMEAN	Aesthetically pleasing ratio of antiquity
NEE	Alumna identifier
OPEL	German-built auto
ARIA	Verdi's "Di Provenza il mar," e.g.
GABLE	Another co-star of the film hidden in this puzzle
GIRL	Beatles song that begins "Is there anybody going to listen to my story"
TEAK	Hard wood
NOTE	Point out
