HUSSEIN	Big catch of 2003
HISPEED	Like many Net connections
UNCONDITIONALLY	Without reservations
STANDONONESTOES	Try to get a better view, say
SERTS	Some Spanish murals
ERLE	"Phineas Finn" character Barrington ___
INE	Serpent's tail?
NATALIES	Wood and others
BRAVOED	Applauded with shouts
BRASIL	Five-time winner of the Copa do Mundo
REN	TV canine
AVAS	Prizes for video production
VEGAN	One on a strict diet
ONEMOMENTPLEASE	Operator's line
EUROPEANTHEATER	It included the Eastern and Western fronts
DESSERT	There's sometimes no room for it
INTERNALREVENUE	Estate taxes, e.g.
LTCOLS	Maj. superiors
SCARLETTANAGERS	Grosbeak relatives
PONTE	Common sight in Venezia
ACS	Temp. reducers
SAMOS	It's north of the Dodecanese Islands
ENDS	Line pair
ALOIS	Joseph ___ Ratzinger, birth name of Pope Benedict XVI
APTERAL	Having no aisles, in architecture
SINUSES	Allergies often affect them
NOPE	Casual rejection
EDO	Nigerian native or language
SPILLIT	"Fess up!"
STIES	Major messes
TOSCA	Object of Cavaradossi's affection
MER	La ___ Caspienne
DINETTES	Parts of some studios
ERG	Dyne-centimeter
NOMEAT	11-Down's request
MAO	Red giant?
TORIES	Reactionaries
SUSANN	"Valley of the Dolls" novelist
SITERECT	Be no slouch in class?
SINGER	___ Building, company headquarters erected in 1908 in New York City, at the time the tallest building in the world
SEAMAPS	Oceanographers' references
BISCOTTI	Crunchy cafe treats
BEMINE	Words from the heart?
IRELESS	Having no spleen
EOE	Want ad abbr.
SAGETEA	Herbal brew
GATORS	Southern snappers, briefly
PHR	Sentence part: Abbr.
ANSA	Looped vase handle
AETAT	Old tombstone abbr. meaning "at the age of"
LAMES	Disables
ULEE	Title apiarist of a 1997 film
UNLIT	Dark
MATED	Like shoes and socks
DOSE	Recommended intake
TIR	French shooting match
ONEAL	Cager who starred in "Kazaam"
OPUS	Work ID
ALOTONONESPLATE	Tons of work to do
NUM	O.T. book
SRA	Title of respect in 8-Down: Abbr.
PLEASURECRUISES	Carnival offerings
SYSTEMS	Digestion and circulation
TASTERS	Intrepid palace employees
