BABA	Cake with a kick
BEFIT	Seem suitable for
AMINO	___ acid
BUGSY	1991 gangster role for Warren Beatty
ASHE	Queens stadium name
CARLOT	Lemon locale?
CAESAR	Kind of salad
APRONS	Green perimeters
RIJN	Rembrandt van ___
LEE	Writer Harper
OCT	Pumpkin time: Abbr.
TETRADS	Quaternities
JAM	Freestyle musical performance
JONG	"Fanny" novelist
ARAB	Kaffiyeh wearer
MOBY	___ Dick
EMUS	Cousins of kiwis
APIECE	Pricing word
ORO	El Dorado's lure
FIGHTERJETT	Airplane for a rock singer?
TACIT	Understood
NAB	Pinch, in a way
INSEASON	Currently plentiful
RUGBY	Scrum game
UNKEMPT	Disheveled
TOY	Playpen item
CAN	When repeated, a 1953 Cole Porter musical
THAN	Comparative word
TAOS	Santa Fe Trail town
HIRE	Take on
FIRSTAIDKITT	Medical supplies for a chanteuse?
FRISBEE	Invention spawned by a pie tin
THINE	Yours, once
ICER	Patisserie employee
TARA	Butler's haunt
TREY	Long basket, in basketball slang
ALERT	Argus-eyed
AJOB	"Get ___" (1957 hit)
LIMA	Capital near Callao
EMIR	Literally, "commander"
HORSECAR	Trolley predecessor
JIMI	Guitarist Hendrix
RAISE	Scrape together
RICA	Costa ___
AOUT	Hot month in Québec
MERE	Slight
OMISSION	Certain erratum
SERAPES	Colorful wraps
SPRAY	Use an atomizer
STING	Apiarist's woe
BARBECUEPITT	Cooking area for an actor?
PATINE	Copper coating: Var.
IRONED	Decreased?
ERAT	Part of Q.E.D.
ARI	Bush spokesman Fleischer
SUB	Hero
SLOOP	America's Cup entrant
ULTRA	Extreme
BYTES	They're committed to memory
ATSEA	Lost
ADZE	Cabinetmaker's tool
TOES	11 to 20, for some counters
SHEA	Queens stadium name
ATONALLY	In an unharmonious way
AKIN	Comparable
ALMS	Handouts
DOH	"How dumb of me!"
PARKINGLOTT	Place for a senator's car?
ALI	Ring master?
RAG	Joplin specialty
ZEE	Last in a series
ELAINE	"Seinfeld" role
MORE	End-of-performance call
ESA	Conductor ___-Pekka Salonen
SIGNED	Communicated like Marlee Matlin
SPAS	Where people shape up
