COQAUVIN	Certain fricassee
CAMEO	Small part
ODESSA	1905 revolt setting
QANTAS	Virgin Blue rival
AMT	Check information: Abbr.
USAGE	Gas bill information
VALE	Low point
ILTEMPO	Big Italian daily
NEESON	Star of the 1998 film version of 45-Down
HUMANS	Around-the-world race
HIE	Get a move on
USPOSTAGE	It increased to 4 cents per oz. in 1958
MIAMI	Home to Seaquarium and MetroZoo
ATTENDTO	Serve
NOHITTER	Diamond dream
SKY	Top of the world?
ADAMSALE	Teetotaler's order
ISITOK	"Would you mind ...?"
MENTALTELEPATHY	Special communication
LEVEE	Spillover stopper
EST	It's not exact: Abbr.
GEESE	They come to a point while flying
OMEI	Sacred Buddhist mountain
OSAGE	Dakota relative
GLINT	Flash
MOVESINTO	Starts occupying
EXCISE	Cut out
OSSE	Bone: Prefix
ASL	Special communication syst.
UPNEXT	On deck
UNTIED	Loose
DTS	Cause of some shaking, for short
ITNO	"Pay ___ mind"
TENGALLON	Kind of hat
ECARTES	King-high games
RNASE	Biochemical enzyme, briefly
GARNET	Deep red
GNAR	Growl
AEROPERU	1970s-'90s international carrier based in Lima
RAMPAGED	Went wild
IGNORE	Not even consider
NEATNIK	One picking up a lot
KNORR	Campbell's competitor
ASEA	Like pirates
AVENUEQ	2004 Best Musical Tony winner
ARM	Set to go off, as a bomb
GENEVE	Where la Croix-Rouge is headquartered
EPACTS	Periods added to harmonize the lunar and solar calendars
SLA	Radical 1970s grp.
LESMIZ	1987 Best Musical Tony winner, informally
ACCEDE	Bow
ROPEADOPE	Rumble in the Jungle strategy
ELUDE	Shake
BEECH	Cherry alternative
BETTE	Greene who wrote "Summer of My German Soldier"
HIRED	Like some help
PALL	Become wearisome
RANEE	Important Indian
ESSU	"Mi casa ___ casa"
SCI	It may be exact: Abbr.
REGULARCUSTOMER	One who keeps giving you the business?
RCA	MP3 player maker
ASS	One that may balk
ORE	Stuff in a bank
CREDOS	Philosophies
TESTRIDE	Spin out on wheels?
AUDENS	"Funeral Blues" poet and family
SQUEEZED	In a tight spot financially
