FISHBOWLS	They lack private parts
FIGTREE	Jesus cursed one in Matthew 21
INROADS	Headway
STOPGAP	Improvised
HOUSE	Fraternity, e.g.
BONY	Thinner than thin
ODD	See 46-Across
WESTERNUS	Where M.S.T. and P.S.T. can be found
LEQUARTIERLATIN	Home of la Sorbonne
SPURN	Jilt
ABABA	Part of a capital's name meaning "flower"
ARRS	LAX info: Abbr.
BORO	New York's Five ___ Bike Tour
AVENGER	Ant-Man, Iron Man, Wasp or Thor, in Marvel Comics
BELTRAN	1999 A.L. Rookie of the Year Carlos
ASSORTS	Divides by type
INTOODEEP	Unable to get out of a bad situation
ROVES	Is far from a homebody
GROUNDSQUIRRELS	Marmots and prairie dogs
INST	Tech., for one
TOPSY	"Uncle Tom's Cabin" girl
TURNSONTO	Gets acquainted with something good
RAGE	Fashion
JEANS	Wranglers, e.g.
JUAN	San ___
GRR	Spot announcement?
EDA	Coloratura Christiane ___-Pierre
BURR	A Scot has one
BREST	French naval base in heavy W.W. II fighting
THREAT	___ level
HELLS	Oregon and Idaho's ___ Canyon
RAYE	Country singer Collin ___
ESPERANTO	The 1965 William Shatner film "Incubus" is in it
EGIS	Protection: Var.
ONTHETAKE	Corrupt, in a way
EARNS	Generates returns
GENUINELY	From the heart
ETON	"A Yank at ___" (1942 Mickey Rooney film)
SARIS	They may be thrown over the shoulder
SPITSAT	Shows contempt for
ARTICLE	57-Across offering
RESTAGE	Show, as past events
SETTLEDUP	Squared
DIOMEDE	Little ___, island in the Bering Strait
USHERIN	Herald
PULLSAT	Tries to loosen
PRESTO	Quickly
OGRE	Brute
RHOS	Fraternity letters
ISU	Terre Haute sch.
ITS	With 6-Down, "Curious ..."
GALEN	Early advocate of bloodletting
ATTWO	When four bells ring on the middle watch
POHL	"The Far Shore of Time" author Frederik
PAGER	It may give you a buzz
TITFORTAT	Mechanical trade
FRAN	Memorable 1996 hurricane along the Eastern Seaboard
OLES	Corrida sounds
CAMEL	Source of Caravane cheese
CAPA	Corrida cloak
SCARLETTANAGERS	Cardinal relatives
NIP	Snatch
ALGAE	Red ___
WIKIPEDIA	Its symbol is a globe composed of jigsaw puzzle pieces
TEENS	World War I period
ONEPARENT	Like some families
